code	printed	line	letter	context
11	11	6318	XXXVIII.	 King, which he cannot nowe longe rleferre. XXXVIII. — "Secretary Walsingham to Mr. 11. Bowks; 22 June, 1580." From the Cottonian MS. Calig. C. vi. fol. 47, b. Sir, Howe
22	22	6319	XXXVIII.	h he cannot nowe longe rleferre. XXXVIII. — "Secretary Walsingham to Mr. 11. Bowks; 22 June, 1580." From the Cottonian MS. Calig. C. vi. fol. 47, b. Sir, Howe resolutely 
47	47	6320	XXXVIII.	singham to Mr. 11. Bowks; 22 June, 1580." From the Cottonian MS. Calig. C. vi. fol. 47, b. Sir, Howe resolutely her Majesty is bent in these matters of Scotland you may 
2	2	6361	XXXVIII.	isfacion. I pray you let me knowe what pencion you think might content Moreton. G 2 nOWKS CORRESPONDENCE. XXXIX. — "Mr. Bowes to the Lord Tiireasurer and Sir Francis 
9	9	6368	XXXIX.	RESPONDENCE. XXXIX. — "Mr. Bowes to the Lord Tiireasurer and Sir Francis Walsingham ; 9 July, 1580." From the Cottonian MS. Calig. C. vi. fol. 48. Tiiearle of Moreton purp
48	48	6369	XXXIX.	d Sir Francis Walsingham ; 9 July, 1580." From the Cottonian MS. Calig. C. vi. fol. 48. Tiiearle of Moreton purposed to be at courte before the said convencion, and to be
19	19	6428	XL.	d. XL. — Letter from Sir Robert Bowes to Sir Francis Walsingham ; dated at Berwick, 19 July, 15S0. From the Cottonian MS. Calig. C. vi. fol. 52. It may please your Hono
52	52	6429	XL.	ngham ; dated at Berwick, 19 July, 15S0. From the Cottonian MS. Calig. C. vi. fol. 52. It may please your Honor. Your last of the 7th of this monthe I have receaved, h
2000	2000	6489	XL.	e lent be lesse then haith bene requyred. And by good handlinge a yearly pencion of 2000 marckes, or thereaboutes, may peradventure suffice, and be well accepted of the Kynge 
19	19	6533	XLI.	 Sir Robert Bowes to Lord Burgh- ley and Sir Francis Walsingham ; dated at Berwick, 19 July, 1580. From the Cottonian MS. Calig. C. vi. fol. 53. It may please your good 
53	53	6534	XLI.	ingham ; dated at Berwick, 19 July, 1580. From the Cottonian MS. Calig. C. vi. fol. 53. It may please your good Lordship and your Honor. The pacquett of the 7th of this 
88	88	6571	XLI.	dvance suche course as her Majestie should sett downe for preservacion of thamytie 88 bowks CORRESPONDENCES and mutuall proffitta of ))othc princes and rcalincs, like as 
1	1	6690	XLI.	o be sent in season to the Commissioners, with directions requisite, gyving espe- cial 1 order for lymitacion of the begynninge of the redresses. Thearles of Lenox, Atholl, 
29	29	6731	XLII.	esses Privy Counsell. XLII. — "Earl Morton to Mr. Ro. Bowes/' dated at St. Andrews, 29 July, 1580. From the Cottonian MS. Calig. C. vi. fol. 56. Mr. Thesaurer, I receaved
56	56	6732	XLII.	wes/' dated at St. Andrews, 29 July, 1580. From the Cottonian MS. Calig. C. vi. fol. 56. Mr. Thesaurer, I receaved thre letters of yours, quhair unto till now I have not 
92	92	6773	XLII.	n of God. Sanctandrous, the 29th of July, 1580. Your loving gude freind, Morton. 92 1JOWES CORRESPONDENCE. XLIII. — Mr. Archibald to Sir Robert Bowes (?) dated 31 July, 
31	31	6778	XLIII.	ton. 92 1JOWES CORRESPONDENCE. XLIII. — Mr. Archibald to Sir Robert Bowes (?) dated 31 July, 1580. From the Cottonian MS. C'alig. C. vi. fol. 58. Sik. — The late rctour
58	58	6779	XLIII.	 Robert Bowes (?) dated 31 July, 1580. From the Cottonian MS. C'alig. C. vi. fol. 58. Sik. — The late rctourninge of Mr. Allvn from our court, and his sufficiencies^ make
1	1	6808	XLIII.	ne done. Mr. Beverley hath direction and trust I thinke be aswcll to you knowen as 1 can wright, yet I thinke the effect shall not be great, that that way shall produce
58	58	6855	XLIV.	the Abbot of Dcmferlixge, Primo Augusti, 1580." From the Cotto- nian MS. C. vi. fol. 58, b. It may please your good Lordship ; whereas by your letter of the 11th of June
10	10	6866	XLIV.	ignified, to proroge the former meeting of the Commissioners in this parte untill the 10 of August now instant; upon understandingof which motion and deliberation of the same,
94	94	6879	XLIV.	of redresses for at- temptes done in the tyme of Regentes deceased, were especially 94 B0WE8 CORRESPONDENCE. by their own meanes suspended; yet her Majestic, loving and p
95	95	6930	XLIV.	ommissioners, to send this bearer my servant with this pre- HOWES CORRESPONDENCE. 95 sentes to your good Lordship; hartely praying your Lordship to effect his dispatche 
15	15	6945	XLIV.	endations, I pray God preserve your good Lordship, &c. Berwick, the first of August, 15 SO. XLV. — "From Mr. Bowes to the Lord Burghley and Sir Francis Walsingham, 2 Aug. 
2	2	6949	XLV.	ust, 15 SO. XLV. — "From Mr. Bowes to the Lord Burghley and Sir Francis Walsingham, 2 Aug. 1580." From the Cottonian MS. Calig. C. vi. fol. 60. I have also received by 
60	60	6950	XLV.	 and Sir Francis Walsingham, 2 Aug. 1580." From the Cottonian MS. Calig. C. vi. fol. 60. I have also received by my said servant from th'earle of Morton one letter to be 
2	2	7013	XLVI.	t, with there great discontentment. XLVI. — "From Mr. Bowes to Sir Francis Walsingam, 2 Aug. 1580." From the Cottonian MS. Calig. C. vi. fol. 59, b. It may please your H
59	59	7014	XLVI.	s to Sir Francis Walsingam, 2 Aug. 1580." From the Cottonian MS. Calig. C. vi. fol. 59, b. It may please your Honor. Your severall letters of the 27th and 29th of the l
61	61	7071	XLVII.	lsingham to Mr. Bowes, 10th August, 15S0." From the Cottonian MS. Calig. C. vi. fol. 61. Sir, Your letter of the second of this present came not to my handes before the 
98	98	7082	XLVII.	n your frend Mr. Archembaldes letter. And surelye the pressing of it withe ii 98 HOWES CORRESPONDENCE. suche expedicion was found very strange, and the rather for t
2	2	7180	XLVII.	de ujjpcn so unsounde a remedye as the reconcevlement offrethe, and to refuse hir H 2 honorable offer, which can never come so late as shall not con- teyne more safet
10	10	7207	XLVIII.	re sa place.* XLVIII. — " Mr. Bowes to the Lord Threasurer and Secretary Walsingham, 10 Augusti, 1580." From the Cottonian MS. Calig. C. vi. fol. 62. The earles of Moreton
62	62	7208	XLVIII.	nd Secretary Walsingham, 10 Augusti, 1580." From the Cottonian MS. Calig. C. vi. fol. 62. The earles of Moreton and Lennox had appoincted the mediacion of their reconcilement
10	10	7284	XLIX.	discover his dis- guised devises. XLIX. — " Mr. Hour. Bowes to Secretary Walsingham, 10 August, 1580." From the Cottonian MS. Calig. C. vi. fol. 63. For the satisfaction o
63	63	7285	XLIX.	 to Secretary Walsingham, 10 August, 1580." From the Cottonian MS. Calig. C. vi. fol. 63. For the satisfaction of th'earle of Morton, and to move him to thincke well of he
22	22	7321	XLIX.	 and to endanger religion and that state. L. — " Mr. Bowes to Secretary Walsingham, 22 August, 1580." From the Cottonian MS. Calig. C. vi. fol. 63. It may please your 
63	63	7322	XLIX.	 Secretary Walsingham, 22 August, 1580." From the Cottonian MS. Calig. C. vi. fol. 63. It may please your Honor. By mync others accompanyingc these presentes, it wilbe se
1	1	7328	XLIX.	out exprcsse dede to be tymely geven to his owne contentment \ like as by my former 1 have Bignifyed. That state runneth so headlonge to the Frenche course as all good 
101	101	7373	XLIX.	 to be ready to doe all his power in memory of his promis to stopp this course. 101 B0WE8 CORRESPONDENCE. LI. — Letter from Sir Rohert Bowes to Lord Bcrgii- i,ky am) 
22	22	7378	LI.	 Sir Rohert Bowes to Lord Bcrgii- i,ky am) Sir Francis Walsingiiam, dated at Berwick, 22 August, 1580. From the Cottonian MS.Calig. C. vi. fol. 64. It may please your good 
64	64	7378	LI.	singiiam, dated at Berwick, 22 August, 1580. From the Cottonian MS.Calig. C. vi. fol. 64. It may please your good Lordship and your Honor. Sithcnce my last before these, my
1	1	7473	LI.	 helpe him in the chardges of the same. Therefore, upon consideracion of the matter, 1 humbly praye to be spcdclv directed what advise I shall send to him, and howe 
27	27	7498	LII.	f her] highnesses privie Counsell. LII. — " Mr. Robert Bowes to my Lord Treasurer ; 27 August, 1580." From the Cottonian MS. Calig. C. vi. fol. G6. It is geven me to un
40	40	7508	LII.	barton. And Drumwhessell, beinge thereon taken, hath entred into bondes and caution in 40,000/. to deliver that pece to thearle of Lennox, or to captain Wm. Steward, whome Le
27	27	7546	LIII.	e the tyme to be APPOINCTED FOR THE LORD ScROPE, AND HIS REPAYRE into Scotland ; 27 August, 15S0." From the Cottonian MS. Calig. C. vi. fol. 67. Sir, I have acquain
67	67	7547	LIII.	YRE into Scotland ; 27 August, 15S0." From the Cottonian MS. Calig. C. vi. fol. 67. Sir, I have acquainted her Majestye with the contentes of your Letters of the 22th
108	108	7581	LIII.	will give eare to such advise as she shall give him for the weale of his crowne. 108 HOWES CORRESPONDENCE. LIV. — " M. TO THE K. OF SCOTTS. CREDIT FOR Mil. BoWES, WHO
31	31	7589	LIV.	 PREVENT1NGB OF PRESENT DAUNGERS; BY SlR F[RANCIs] W[aLSING- iiam]. Aug. 31, 1580." From the Cottonian MS. Calig. C. vi. fol. 67. Right high. &c. Beinge crc
67	67	7590	LIV.	 W[aLSING- iiam]. Aug. 31, 1580." From the Cottonian MS. Calig. C. vi. fol. 67. Right high. &c. Beinge crcdiblie informed by letters lately sent unto us, of some 
31	31	7615	LV.	 naturall sonne. LV. — "Mr. Bowes to the Lord Threasurer and Secre- tary WAL8INGHAM ; 31 August, 1580." From the Cot- tonian MS. Calig. C. vi. fol. 67, b. Tins morning, at 
67	67	7616	LV.	ecre- tary WAL8INGHAM ; 31 August, 1580." From the Cot- tonian MS. Calig. C. vi. fol. 67, b. Tins morning, at 7 in thafforenone, I received your last of the 28Ul of this 
7	7	7618	LV.	 August, 1580." From the Cot- tonian MS. Calig. C. vi. fol. 67, b. Tins morning, at 7 in thafforenone, I received your last of the 28Ul of this present. And therein I ha
2	2	7640	LV.	Majesties meaninge to send the Lord Scrope, &c. The counsell of Scotland convene the 2 of September. The castle of Dunbarton delivered up into the handes of Wm Steward, t
31	31	7654	LVI.	Moreton. Monbrino dispached into France. LVI. — " Secretary Walsingham to Mr. Bowes. 31 Aug. 1580." From the Cottonian MS. Calig. C. vi. fol. 67, b. Sir, Immediately up
67	67	7655	LVI.	alsingham to Mr. Bowes. 31 Aug. 1580." From the Cottonian MS. Calig. C. vi. fol. 67, b. Sir, Immediately upon the receipt and perusinge of your letter of the 27th of 
68	68	7762	LVII.	M. to Mr. Bowes; 1st September, 1580." From the Cottonian MS. Calig. C. vi. fol. 68, b. Sir, Her Majesty entred into consideracion of their last dispache, her pleasure 
1	1	7795	LVII.	t you by the last. And so I comitt you to God. From the courte, at Otelands, the 1. of September, 1580. You may perceave by this last resolucion, in revokeingc some pa
6	6	7817	LVIII.	Russell. LVIII. — "Mr. Robert Bowes to the Lord Treasurer an i) Secretary Walsingham; 6 September, 1580." From the Cottonian MS. Calig. C. vi. fol. 69, b. Tins morninge, b
69	69	7818	LVIII.	) Secretary Walsingham; 6 September, 1580." From the Cottonian MS. Calig. C. vi. fol. 69, b. Tins morninge, beinge rcadie to set forwards in my journey, I receaved intellige
13	13	7826	LVIII.	 trust to conferrc secretly with him before his departure HOWES CORRESPONDENCE. ] 13 from Dalketh ; occasioninge me thereby to stay my journey this day untill to morrow
10	10	7868	LIX.	further from the King's person. LIX. — "M. from Sir Francis Walsingham to Mr. Bowes; 10 September, 1580." From the Cottonian MS. Calig. C. vi. fol. 70. Str, After I had a
70	70	7869	LIX.	singham to Mr. Bowes; 10 September, 1580." From the Cottonian MS. Calig. C. vi. fol. 70. Str, After I had acquainted her Majestye with your letters of the 4th of September
13	13	7935	LX.	 Sir Robert Bowes to Lord Burgh- ley and Sir Francis Walsingham, dated at Edinburgh, 13 September, 1580. From the Cottonian MS. Calig. C. vi. fol. 71. It may please your 
71	71	7936	LX.	m, dated at Edinburgh, 13 September, 1580. From the Cottonian MS. Calig. C. vi. fol. 71. It may please your good Lordship and your Honor. Accord- ing to myne appointment, b
45	45	7942	LX.	 on the next daye I came to this citie. Albeit I had purposed to have spoken with 45* before myne arryvall here, yet thaccesse was found so perillous by divers accidentes,
2	2	7981	LX.	daye then next following. 'a* Probably the Earl of Morton ; see number LVIII. I 2 On the morrow I presented her Majesties letter to the King, accompanying the same 
1	1	7991	LX.	 progresse of altera- ( inns suspected ; and to be at this tyme attempted : whereon 1 received many faire promises to followe her Majesties good advise with thankefullnes, 
1	1	8024	LX.	 had founde faulte with this kinde of dealinge, I saide that to remove all scruple, 1 had direction in writinge on that parte. Againe they signified to me that the King 
117	117	8034	LX.	ne instructions. And to thother parte of their demand, HOWES CORRESPONDENCE. 117 there needed none answere. This offer was also rejected, with signification to me th
1	1	8092	LX.	e appcarc in the margin hereof/- Dumfermling did first perswade that Lenox should sit 1 stilly and was very forward to do all thinges to Lenox contentment ; to whom he no
18	18	8159	LXI.	 Bowes. LXI. — "A Purpose of Councell at Richmond, for directinge of Robert Bowes, 18 September, 1580." From the Cottonian MS. Calig. C. vi. fob 73. [Out of a copy in 
73	73	8160	LXI.	tinge of Robert Bowes, 18 September, 1580." From the Cottonian MS. Calig. C. vi. fob 73. [Out of a copy in my Lord Treasurer Burleigh's hand.] That Robert Bowes may be d
120	120	8192	LXI.	 doubted that this mes- sadge doon shall but irritate D'Aubney and make him fortefy 120 HOWES CORRESPONDENCE. him self stronger with his fast fireindes, and shall make oth
1	1	8204	LXI.	 to be noted what are the perrills if Leonox be suffred to contynewe his greatnes. 1. Fyrstj he will abuse all such as beare freindship to the Queen's Majestie. 2. lie 
2	2	8207	LXI.	nes. 1. Fyrstj he will abuse all such as beare freindship to the Queen's Majestie. 2. lie will nourish unkyndnes and troubles upon the Borders, to drvve the Queen's Majes
1	1	8211	LXI.	 a contynuall ehardge to keape force to defend outrages committed upon her subjectcs. 1. He will induce the King to marry in France, or ells where, to make him self able 
1	1	8221	II	ere he shall attempt it, hee shall have more helpes then the Queen his mother had. 1. First; because he shall be a younge man, in whom both the Kingdomcs of England and
2	2	8225	II	 Scotland shall seme to be knitt to avoyde all perills by uncerteynty of succession. 2. Secondly; he shall have the comfort of all discontented persons in England, whereof 
3	3	8229	II	ber is, at this day, farr greater then was in the beginning of the Queen's raignc. 3. Thirdly ; the Scottish nation is at this day stronger in featz of armes than it wa
1	1	8247	II	 her Majestie will thoroughly ron the COUrse to the end. BOWES CORRESPONDENT i:. ]?1 LXII. — '"From Mb. Robert Bowks to Sir Francis Wal- singham; 20 September, 1580." Fr
20	20	8251	LXII.	 CORRESPONDENT i:. ]?1 LXII. — '"From Mb. Robert Bowks to Sir Francis Wal- singham; 20 September, 1580." From the Cottonian MS. Calig. C. vi. foL 71- b. Surely 98 hath b
71	71	8252	LXII.	 Francis Wal- singham; 20 September, 1580." From the Cottonian MS. Calig. C. vi. foL 71- b. Surely 98 hath been deceptfully used at all handes, and is most greeved that h
98	98	8254	LXII.	ingham; 20 September, 1580." From the Cottonian MS. Calig. C. vi. foL 71- b. Surely 98 hath been deceptfully used at all handes, and is most greeved that he cannot perform
45	45	8267	LXII.	would perswade, the successe will soone after discover theffectes of the work. And if 45 shalbe ymployed, then his interteynement and chardge may not long be differed. For up
20	20	8279	LXIII.	 LXIII. — Letter from Sir Robert Bowes to Sir Francis Walsingham; dated at Edinburgh, 20 September, 1580. From the Cottonian MS. Calig. C. vi. fol. J4, b. This last curse 
1	1	8295	LXIII.	also myn erand and commyssion to come alone to accuse them. From whence this commeth 1 know notr, 122 HOWES CORRESI'ON DKXCE. butt I wysh that yt myght be prevented. 
122	122	8298	LXIII.	and commyssion to come alone to accuse them. From whence this commeth 1 know notr, 122 HOWES CORRESI'ON DKXCE. butt I wysh that yt myght be prevented. For he haith fre-
1	1	8305	LXIII.	from the Kynges mother, thai are carved tirst into France, and aflcr brought hither. 1 can nott as yctl lcarnc thcHectcs of the packettes and com- myshon sent by La C'roy
45	45	8311	LXIII.	France happily by gud espyall gott some know- ledge, Which mvght do greatl gud here. 45 longeth for resolution. Wherin yt is tyme that he gott Well satisfyed. But wordes ma
20	20	8318	LXIV.	 Sir Robert Bowes to Lord Birgiiley and Sir Francis Walsingham ; dated at Edinburgh^ 20 September, 1580. From the Cottonian MS. Calig. C. vi. fol. rr,. It may please your 
1	1	8323	LXIV.	d your Honor. On Tuesday last, after the dispatche of myne others next before these, 1 Avas agayne called to the Kynge, who discoursed and shewed to me at some length tha
1	1	8380	LXIV.	rynge that if I wold declare my creditt and message to the Kynge and whole counsell 1 should have audience, otherwise if I wold do it to the Kynge alone he wold gladly 
1	1	8404	LXIV.	 contcntcs thereof should be reasonable; and to thintent I might the better satisfve 1 1 1<> Kynge and counsel] therein, I repaired to the Kyng, prayngc, and lykcwise moved 
1	1	8404	LXIV.	 contcntcs thereof should be reasonable; and to thintent I might the better satisfve 1 1 1<> Kynge and counsel] therein, I repaired to the Kyng, prayngc, and lykcwise moved D
1	1	8404	LXIV.	ontcntcs thereof should be reasonable; and to thintent I might the better satisfve 1 1 1<> Kynge and counsel] therein, I repaired to the Kyng, prayngc, and lykcwise moved Dum
45	45	8423	LXIV.	ux, contrary both my former resolution signifyed to yowe, and also to the conceyt of 45. And I doubt to be agayne urged to send up the letter, notwith- standinge that the 
1	1	8433	LXIV.	oone after the rccept of your last of the 10th of this month, which I receaved the 1 lth of the same, I acquainted the Kynge with the stay of the lord Scroope, and the
36	36	8479	LXIV.	rticuler action, shall gett no creditt, as is before declared. I have travelled with 36, accordynge to suche effectes as by the note inclosed in your sayd letter was direct
70	70	8537	LXIV.	gh England, and nevcrthelesse he myndeth to sayle to Deepe in a shippc of Leethe of 70 toonnes of Gilbert Cautt ; and will enter his voyadge within a day or two. or with 
98	98	8542	LXIV.	recteth his wife to be stayed, notwithstandynge she be entered into herjorney. And as 98 telleth inc. Lenoux begynneth to thynke it meete for hym selfe to followe soone afte
15	15	8575	LXIV.	ety, I pray God have yowe in his blessed kepynge. Edinburgh, the 20th of September, 15 SO. Your Lordship and your Honor's wholly at commandement, Robert Bowes. To the righ
25	25	8594	LXV.	from Sir Robert Bowes to Lord Burgh- ley and Sir Francis Walslvgam ; dated Edinburgh, 25 September, 1580. From the Cottonian MS. Calig. C.vi. fol. 78, It may please your go
78	78	8595	LXV.	lvgam ; dated Edinburgh, 25 September, 1580. From the Cottonian MS. Calig. C.vi. fol. 78, It may please your good Lordship and your Honor. Bicause I can not have audience 
1	1	8625	LXV.	 hothe towardes the persons then complaining, and also to all others of this nacion, 1 agreed to recomend their request to her Majestie for thexpedicion of justice, or in 
1	1	8645	LXV.	Chamber- lainc and a Vicechamberlaine in the Kynges howse, and that there might be l' 1 gentlemen, sonnes of earles, lordes, and barons, that might attend on the Kvnge for 
21	21	8652	LXV.	e alredy received and have taken their othes, and order gyven for the choise of the 21 gentlemen aforesaide, that shalbe chosen at the denominacion of Lenox. There Mere no 
1	1	8759	LXV.	part of England before their arryvall at Depe. Whereof as I can gitt better certenty 1 Bhall give you further warninge. The Mr. of Marre promiseth his devotion to her Maj
15	15	8808	LXV.	e, I praye God have you in his blessed kepeing. Edenbroughe, the 25th of September, 15 SO. Your Lordship and your Honor's at commandment, Robert Bowes. To the right honor
1	1	8826	LXV.	, her Majesties principal! secretarie, and one of her highnes' privie counsell. K '1 32 HOWES CORRESPONDENCE. LXVI. — Letter from Sir Robert Bowes to Lord Burghley an
32	32	8829	LXV.	r Majesties principal! secretarie, and one of her highnes' privie counsell. K '1 32 HOWES CORRESPONDENCE. LXVI. — Letter from Sir Robert Bowes to Lord Burghley and Sir
27	27	8834	LXVI.	 Sir Robert Bowes to Lord Burghley and Sir Francis Walsingiiam ; dated at Edinburgh, 27 September, 1580. From the Cottonian MS. Calig. C. vi. fol. 81. It maye please your 
81	81	8835	LXVI.	 ; dated at Edinburgh, 27 September, 1580. From the Cottonian MS. Calig. C. vi. fol. 81. It maye please your good Lordship and your Honor. Upon sight of the progresse of 
134	134	8930	LXVI.	ne journey and travell to her Majestie, for thadvauncement of these weighty causes ; 134 HOWES CORRESPONDENCE. to the which thearles of Argilc, Lenox, and other their frend
48	48	8957	LXVI.	 hold my former course, as well against Lenox as all these proccdings, as also with 48 and all other on that side ; attending still her Majesties pleasure for my further 
72	72	8996	LXVI.	 be considered herein ; I do eftsoones recomend to your good judge- ments. This day 72 sent an especiall messenger to me for myne advise, whether he should accept the Lieu
48	48	9001	LXVI.	 to drawe thother to rune with him in his governement, and to cary him further from 48, there- fore my counsell was to forbeare and refuse that chardge, with mete terms for
1	1	9019	LXVII.	m Sir Robert Bowes to Lord Burghley and Sir Francis Walsingham ; dated at Edinburgh, 1 October, 1580. From the Cott. MS. Calig. C. vi. fol. 83. It may please your good 
83	83	9020	LXVII.	ingham ; dated at Edinburgh, 1 October, 1580. From the Cott. MS. Calig. C. vi. fol. 83. It may please your good Lordship and your Honor. Sythence myne other next before t
1	1	9078	LXVII.	ell doe. Ilcrof the Kynge was soone advertised, and newe offence is conceyved ; but 1 thinkc the matter will fall tymely to a calme. Therle of Lenoux, notwithstandinge hi
138	138	9137	LXVII.	I shall doe in this behalfe, I do humbly pray to be directed with all expedicion. 138 HOWES CORRESPONDENCE. The Kyng purposeth to be at the maryadge of therle of Marre 
6	6	9176	LXVIII.	rom Sir Robert Bowes to Lord Burghley and Sir Francis Walsixgham ; dated Edin- burgh, 6 October, 1580. From the Cottonian MS. Calig. C. vi. fol. 85. It may please your go
85	85	9177	LXVIII.	gham ; dated Edin- burgh, 6 October, 1580. From the Cottonian MS. Calig. C. vi. fol. 85. It may please your good Lordship and your Honor. Sithence the dispatche of my last
24	24	9211	LXVIII.	vote of the erection of thorfice of Lord Chamberlayne, and the esta- blishment of the 24 gentlemen to be named to attend on the Kynge ; wherein the names of 48 have bene 
48	48	9212	LXVIII.	ment of the 24 gentlemen to be named to attend on the Kynge ; wherein the names of 48 have bene shewed to the Kynge that he may make his chose, and neverthelesse the 24*
24	24	9214	LXVIII.	 48 have bene shewed to the Kynge that he may make his chose, and neverthelesse the 24* to be elected, beynge all dependers on Lenoux, are alredy determyned. Next, the ban
12	12	9365	LXVIII.	 one of her Majesties pryncipall Secretaryes, and of her Highnes prevy counsell. ] 12 BOWES rOKRESPOXDEXCE. LXIX. — "Me. Bowes to Secretary Walsixgiiam ; 7 Oc- tober, 1580.
7	7	9368	LXIX.	 counsell. ] 12 BOWES rOKRESPOXDEXCE. LXIX. — "Me. Bowes to Secretary Walsixgiiam ; 7 Oc- tober, 1580." From the Cottonian MS. Calig. C.vi. fol. 87- I have this clay 
87	87	9369	LXIX.	ecretary Walsixgiiam ; 7 Oc- tober, 1580." From the Cottonian MS. Calig. C.vi. fol. 87- I have this clay imparted the occurrents of the discent of the Spaniardes into Irr
45	45	9373	LXIX.	iscent of the Spaniardes into Irreland, expressed in yours aforesaid to the Kynge, to 45, to 24, and others; to thintent I might by season- able and good discoverie therof pr
24	24	9373	LXIX.	f the Spaniardes into Irreland, expressed in yours aforesaid to the Kynge, to 45, to 24, and others; to thintent I might by season- able and good discoverie therof prevent th
1	1	9380	LXIX.	 well bent to advance these and all others to her Majesties good contentment, wherein 1 wishe that the good occasion offered againe be no longer delayed. For surely I have 
7	7	9397	LXX.	wherof intelligence is come hither from Den- mark. LXX.-" M. to Mr. Bowes, revoked, 7 October, 1580." From the Cottonian MS. Calig. C. vi. fol. 87. After our hearty com
87	87	9398	LXX.	 to Mr. Bowes, revoked, 7 October, 1580." From the Cottonian MS. Calig. C. vi. fol. 87. After our hearty commendacions. Her Majesty, finding that the good and effectual] pe
18	18	9542	LXXI.	m Sir Robert Bowes to Lord Burgu- l.ey and Sir Francis Walsingham, dated at Berwick, 18 October, 1580. From the Cottonian MS. Calig. C. vi. fol. 89. It may please your go
89	89	9543	LXXI.	ngham, dated at Berwick, 18 October, 1580. From the Cottonian MS. Calig. C. vi. fol. 89. It may please your good Lordship and your Honor. Upon recept of your laat of the 
2	2	9666	LXXI.	 the conservation of her Majesties honor, and for the preservation of thamity with L 2 his soveraigne. For the which he wilbe redy to imploy hym selfe and whole power, 
1	1	9715	LXXI.	 notes as by your sayd letter is geven me in chardge to be aignifyed to hym. And 1 have delt to lyke effect, but in more rowgh sorte, with the lord Lyndsey, St. Combe
1	1	9805	LXXI.	olute order for mutuall reformation to be made on the Bor- ders, notwithstandinge that 1 have dayly called for the same. And upon my late and sharpe accusation of there nec
24	24	9901	LXXI.	iyeause the Kynge and counsell are not yett resolved on the chose and namyng of the 24 gentlemen in ordinary and six extraordinary to attende on the Kynge, therfore I rcfer
153	153	9924	LXXI.	 to repayre to London for the fynishynge of myne accomptes BOWKS CORRESPONDENCE. 153 aforesayd, and with myne humble duety remembred, I pray God have yowe in his ble
24	24	9944	LXXII.	I. — Letter from Sir Robert Bowes to Lord Burghley and Sir Francis Walsingham, dated 24 Oc- tober, 1580. From the Cottonian MS. Caligula C. vi.fol. 93. It may please your
93	93	9945	LXXII.	cis Walsingham, dated 24 Oc- tober, 1580. From the Cottonian MS. Caligula C. vi.fol. 93. It may please your good Lordship and your Honor. Laitly I am advertised that the 
154	154	9977	LXXII.	votion and perform- ance of good offices to her Majestie and prosperity of the com- 154 HOWES CORRESPONDENCE. mon causes; for the which he and his frendes he redy to gyv
24	24	10063	LXXIII.	, Robert Bowes. LXXIII. — "The Twenty-four Gentlemen of the Kinges Majesties Chamber; 24 October, 1580." From the Cot- tonian MS. Calig. C. vi. fol. 94. Ordinars. Extraordin
94	94	10064	LXXIII.	es Majesties Chamber; 24 October, 1580." From the Cot- tonian MS. Calig. C. vi. fol. 94. Ordinars. Extraordinaries. The Mr. of Marshall. L. Maxwell. The Mr. of Rothouse, o
156	156	10101	LXXIII.	wicke. George Duglas of Rungally, brother to Lo'lewin. * See the following number. 156 bowes correspondence. Ordinars. Alexr. Ruthen, brother to my Lord Ruthen. Mr. Marke 
1	1	10126	LXXIV.	IV. — " M. FROM HER MAJESTIE TO THE KyNGE OF Scottes, by Alex. Hume, 1 December, 1580." From the Cottonian MS. Calig. C. vi. fol. 102. Right heighe, rig
102	102	10127	LXXIV.	ttes, by Alex. Hume, 1 December, 1580." From the Cottonian MS. Calig. C. vi. fol. 102. Right heighe, right excellent and mightie Prince, our dearest brother and cosin, wee
7	7	10177	LXXV.	you. LXXV. — Letter from Sir Robert Bowes to Sir Fran- cis Walsingham, dated Berwick, 7 January, 1580[-1.] From the Harl. MS. 6999, Art. 1. It maye please your Honor. By 
1	1	10177	LXXV.	ter from Sir Robert Bowes to Sir Fran- cis Walsingham, dated Berwick, 7 January, 1580[-1.] From the Harl. MS. 6999, Art. 1. It maye please your Honor. By myne other letter
6999	6999	10178	LXXV.	s to Sir Fran- cis Walsingham, dated Berwick, 7 January, 1580[-1.] From the Harl. MS. 6999, Art. 1. It maye please your Honor. By myne other letters sent herewith you will p
1	1	10178	LXXV.	ran- cis Walsingham, dated Berwick, 7 January, 1580[-1.] From the Harl. MS. 6999, Art. 1. It maye please your Honor. By myne other letters sent herewith you will perceave t
7	7	10207	LXXV.	r from Sir Robert Bowes to Lord Burghley and Sir Francis Walsingham, dated Ber- wick, 7 January, 15S0[-1.] From the Harl. MS. 6999, Art. 2. It may please your good Lordshi
1	1	10207	LXXV.	t Bowes to Lord Burghley and Sir Francis Walsingham, dated Ber- wick, 7 January, 15S0[-1.] From the Harl. MS. 6999, Art. 2. It may please your good Lordship and your Honor
6999	6999	10207	LXXV.	 and Sir Francis Walsingham, dated Ber- wick, 7 January, 15S0[-1.] From the Harl. MS. 6999, Art. 2. It may please your good Lordship and your Honor. Yester- day Mr. x\rchebald
2	2	10207	LXXV.	rancis Walsingham, dated Ber- wick, 7 January, 15S0[-1.] From the Harl. MS. 6999, Art. 2. It may please your good Lordship and your Honor. Yester- day Mr. x\rchebald Douglas 
5	5	10395	LXXV.	y, I pray God have yowe in his blessed protection. Barwicke, the 7th of January, J 5 SO. Your Lordship and your Honor's wholly at commandement, Robert Bowes. LXXVII. — 
