target	title	years	langs	shelfmarks	class	fraction_read	profile_tokens	tok_unit	trans_files	file_tokens	gaps	outcome_notes	prior_solution_exists	prior_solution_where	prior_solution_used	system_summary	verification
r8358	Burghley to Walsingham, Westminster 5 July 1572: name codes in a letter-book copy, BL Harley MS 260 f. 262 (DECODE R8358)	1572	English	BL Harley MS 260 ff. 262r-262v; DECODE R8358	not read	0.13	15	mixed	r8358/transcription.txt(15)	15	letter run m o R d A: too-short (five signs, no key) | codes [2], [4], [5], monogram, A, F: no-key-material (no Walsingham-Burghley 1572 key known)	Explained and in print; one code identified by context; the rest needs the key.	no	Digges 1655 prints the letter and the reply with the cipher unread; CSP Foreign x July 1572 does not calendar them	True	Small name code of boxed digits, single letters and a monogram, plus one short letter run; inserted in a clear letter.	historical consistency
r8361	Walsingham letter-book, Nov 1572: Burghley and Walsingham letters with name codes, BL Harley MS 260 ff. 367-369 (DECODE R8361)	1572	English	BL Harley MS 260 ff. 367r-369v; DECODE R8361	not read	0.19	21	mixed	r8361/transcription.txt(21)	21	letter run on f. 367r: too-short (nine signs, no key) | codes [7], [9], H: no-key-material (no Walsingham-Burghley 1572 key known)	Explained and in print; one code identified; the rest needs the key.	no	Digges 1655 prints the letters but not the cipher's meaning; CSP Foreign x does not calendar them	True	Small name code of boxed digits and letters, plus a letter cipher of mixed digits and signs for one name; inserted in clear letters.	historical consistency
r8364	Walsingham letter-book, Feb 1572/3: Burghley to Walsingham, port name read as St Valery, BL Harley MS 260 f. 419 (DECODE R8364)	1573	English	BL Harley MS 260 f. 419r-v; DECODE R8364	read in part	0.23	26	mixed	r8364/cipher_tokens.txt(43)	43	nine-sign run '^ 4 d H m 11 11 I J': no-key-material (key SP 106/2 f. 141A not online; original in Cotton Vespasian F VI not digitised; one known letter) | name codes 3, II, tt: no-key-material (single occurrences, no key or gloss) | [9] markers x5 and 3 after names x3: no-key-material (cover-name markers; the names they stand for were not copied)	Port read as (St) Valery, grade M. Nine-sign run, name codes 3, II, tt and the cover-name markers unread; key SP 106/2 f. 141A and the Cotton Vespasian F VI original not reachable. Verified by the same word in five copies across four letters and by t	no	Digges 1655 p. 327 prints the letter with the cipher undeciphered; no decipherment found in print or on DECODE	True	Burghley-Walsingham 1571-73 cipher: homophonic alphabet of digits, letters and signs, plus name codes and cover-names marked by a boxed digit; inserted in a clear letter.	historical consistency
r8870	Numeric code letter ending 'Duplicata', BL Add MS 32280 ff. 1-2 (DECODE R8870)	unknown	unknown	BL Add MS 32280 ff. 1-2; DECODE R8870	not read	0	901	code groups	r8870/transcription.txt(820)	820	whole letter (901 groups): no-key-material (no key on DECODE or in the volume's key records)	Needs the key or a decipherment; ciphertext-only rebuild not feasible at 901 tokens.	unknown	none found on DECODE or among the 27 key records of Add MS 32280	False	Numeric code of about 1,650 groups, with hyphenated syllable compounds; flat distribution (463 types in 901 tokens).	none
r8871	Trigram code fragment 'Suite du No 13 / No 24', BL Add MS 32280 f. 3 (DECODE R8871)	unknown	unknown	BL Add MS 32280 f. 3; DECODE R8871	not read	0	77	code groups	r8871/f3_transcription.txt(116)	116		Too short to rebuild a code; needs the key or the rest of the numbered series (No 13 onwards), probably in unimaged ff. 4-54.	unknown	none found on DECODE or among the 26 key records of Add MS 32280	False	Three-character groups of letters, digits and oe; flat character statistics and one repeat in 77 groups suggest a large or enciphered code.	none
riksarkivet1628	Riksarkivet group of 14 DECODE records R4282-R4341 (catalogue item 207): Bremen 1631 read; R4282, R4284, R4306 attempted	1628;1631;1632;unknown	German;Latin;unknown	Riksarkivet Stockholm, DECODE R4330 and R4331 (Riksarkivet_Bremen_Tott_1631-1, -2);Riksarkivet, Chifferklaver låda II:113, DECODE R4282;Riksarkivet, Chifferklaver låda II:114, DECODE R4284;Riksarkivet, Chifferklaver låda II:133 (wrapper II:104), DECODE R4306	read in part	0.3	3322	letters;code groups	riksarkivet1628/bremen_transcription.txt(2622);riksarkivet1628/r4306_v2.txt(588);riksarkivet1628/r4284_transcription.txt(1028);riksarkivet1628/r4282_transcription.txt(319)	2622	R4282 (Latin letter cipher, ~1,000 letters): not-attempted (blind substitution/homophonic annealing failed; the clear-word cribs and the R4284 key-test leaf wer) | R4284 (Latin, 108 number values): not-attempted (homophonic Latin anneal gave nonsense; only keys R4310 and R4296 tried; key-test leaf unused) | R4306 (1632, to Amsterdam, numbers 5-203): not-attempted (anneal in 11 languages failed; digit-variant question open; only 2 keys tried) | R4333-R4337 (Rusdorff to Oxenstierna, 1628): not-attempted (surveyed only)	Bremen 1631 (2 of the 14 records) read in full; R4282, R4284, R4306 attempted and open; Rusdorff 1628 (5) and E 708 June 1633 (4, glossed at the time) not worked. fraction_read 0.3 is measured over the four documents' transcriptions (Bremen 955 figur	in archive	Interlinear decipherment of about 80% of the Bremen groups, written at the time; DECODE status Partially decrypted	True	Bremen 1631: two-digit homophonic substitution, four consecutive numbers per letter, the bands taken down the columns of a six-column alphabet grid, with a small nomenclator of one- and two-digit numb	contemporary decipherment;key confirms
roell1809	W. F. Röell (?) to F. G. van Dedem, 9 Feb 1809 (NA 1.02.04 legatie Turkije inv. 804; DECODE R1469, R1470)	1809	unknown	Nationaal Archief 1.02.04 legatie Turkije, inv. 804; DECODE R1469;Nationaal Archief 1.02.04 legatie Turkije, inv. 804; DECODE R1470	not read	0	2585	code groups	roell1809/R1469_groups.txt(1297);roell1809/R1470_groups.txt(1288)	1297		Closed from the evidence; needs the codebook or a crib.	no	None found: DECODE, Colenbrander Gedenkstukken V, NA 2.21.008.78 inventory.	False	Numerical code to about 3,300, groups separated by dots, heavily homophonic (no group above ~1%), not alphabetical; some groups carry a trailing mark.	none
rohan1636	Rohan papers and the Franco-Dutch correspondence, 1635–1636	1635	French	BnF Français 3758 no. 100, manuscript pp. 114–118, Gallica views 126–130;BnF Français 3758 no. 104, manuscript pp. 123–128, Gallica views 135–140	not read	0	None	mixed		0	Français 3758 no. 100 cipher bands: no-key-material (No verified key or matching plaintext.) | Français 3758 no. 104 cipher bands: no-key-material (No verified key or matching plaintext.)	The Savoy/Canisy letters are printed deciphered, but the matching manuscript ciphertext and d'Émery's letter are beyond the supplied Français 5190 reproduction. The surrounding clear prose of the 1635 letters is read.	no	The cipher bands of Français 3758 nos. 100 and 104 were not found in print in this search.	False	The two 1635 letters mix clear French with cipher bands of digits and invented signs; no 1635 key was verified.	none
rupert	Maurice to Rupert, Worcester, 7 July 1645, and royalist intercepts, BL Add MS 72438 ff. 9-10 (1646)	1645;1646	English	BL Add MS 72438 ff. 9-10 (DECODE R8623, R8624);Printed in Warburton, Memoirs of Prince Rupert (1849) iii. 133; original presumably BL Add MS 18980-82	offline only	None	93	mixed		0		Needs the BL images back online or DECODE access with BL permission; 49 Digby keys in Add MS 72438 would likely read the intercepts by trial.	no	none found	False	Royalist numeric nomenclator: two-digit figures for letters, figures from about 100 to 398 (1645) or 500 (1646) for words.	none
scorpion	Scorpion letters S1 and S5, 1991 (Schmeh Top 50 no. 12)	1991	unknown	Letter to John Walsh, 1991 ('Hi! Remember me?');Letter to John Walsh, 1991 (scan via Oranchak / Cipherbrain)	not read	0	250	symbols	scorpion/s1.txt(159);scorpion/s5.txt(248)	248		Below unicity distance from the published material; S2-S4 would be needed.	no	Only unverified claimed solutions (2007, 2016, 2018)	False	Symbol substitution; S5 behaves like 16 alphabets in strict rotation, S1 weakly like five.	matched control
sega1593	Baudouin-Desportes to Aldobrandini and to Frachetta, Paris 22 July 1593, BnF fr. 3984 ff. 186, 189	1593	French	BnF fr. 3984 f. 186 (no. 88);BnF fr. 3984 f. 189 (no. 90)	not read	0	None	symbols		0		Needs a >90 % glyph class string: more labels from f. 176/f. 177, a human glyph transcription, or the recipients' clear copies.	no	Tomokiyo lists f. 186 and f. 189 as undeciphered	False	Catholic League polyphonic cipher: eleven glyphs each stand for two letters (a/n ... m/z), with signs for que, qui, pour and a few code signs.	matched control
sormano1529	Sormano and de Vaulx (Passano) from Ferrara to Francois I, Feb 1529, BnF fr. 3096 nos. 63, 65, 66	1529	Italian	BnF fr. 3096 nos. 63, 65, 66 (ff. 115-116, 119-123)	read in part	0.05	None	letters		0	no. 63 (ff. 115, 116, 123) cipher passages: not-attempted (Lasry's key is in hand (section 6) and the hybrid method of 5d works, but no transcription with it w) | no. 65 (ff. 119-120) cipher beyond the Duke's-answer passage: not-attempted (same) | no. 66 (ff. 121-122) cipher: not-attempted (same, and it cribs no. 65) | i/o homophone forms confusable on the microfilm: illegible (50-60 px glyphs on MF 31394, several forms differ by less than the film records (5b); a new capture )	Key complete; only short passages read, the three letters not transcribed with it. fraction_read is an estimate from the NOTES, not measured.	partial	Lasry's key published on Tomokiyo, French Ciphers during the Reign of Francis I (2023); letters not printed (Molini)	True	Homophonic symbol alphabet, about 36 forms for 20 values (Lasry 2023 key on Tomokiyo's francis.htm).	independent clear copy;key confirms
sp106box10	TNA SP 106/10: a codebreaker's file of Italian intercepts and worksheets, c. 1623-24 (DECODE R657, R660, R664, R704, R720, R721, R722; key R725; worksheets R658, R661, R663, R667, R684, R701, R702, R703)	1623;1625;1645	English;Italian	TNA, SP 106/10, f. 125 (DECODE R658);TNA, SP 106/10, f. 141-143 (DECODE R661);TNA, SP 106/10, f. 164-166 (DECODE R667);TNA, SP 106/10, f. 170-171 (DECODE R684);TNA, SP 106/10, f. 175-177 (DECODE R701);TNA, SP 106/10, f. 181-182 (DECODE R702);TNA, SP 106/10, f. 20 (DECODE R663);TNA, SP 106/10, f. 251 (DECODE R931);TNA, SP 106/10, f. 67 (DECODE R656);TNA, SP 106/10, f. 8 (DECODE R662);TNA, SP 106/10, ff. 128-138 (DECODE R657);TNA, SP 106/10, ff. 139-140 (DECODE R660);TNA, SP 106/10, ff. 167-169 (DECODE R664);TNA, SP 106/10, ff. 186-187 (DECODE R704);TNA, SP 106/10, ff. 188-189 (DECODE R720);TNA, SP 106/10, ff. 190-192 (DECODE R721);TNA, SP 106/10, ff. 193-195 (DECODE R722)	read in part	0.1	0	code groups		0	R664 ff. 1-3 and R660 (system B, the Venetian code) continuous reading: not-attempted (code rebuilt to 117 values from R658, the letters never decoded through with it) | R704, R721, R722 (system C letter-plus-figure syllabary): not-attempted (the codebreaker's interlinear solutions exist, no alignment pass done) | R657 worksheets (system A) against key R725: not-attempted (listed under "Not yet done") | lost 46-line intercept of the second three-figure code (fragments on R667, R684, R701 p.3, R702 p.1, R703): needs-physical-access (the intercept is not among the imaged records, perhaps elsewhere in SP 106/10 or SP 99 at Kew)	The case is explained and dated and system A's key is fully transcribed; system B is read in fragments from a partly rebuilt code. Systems B and C are not yet carried to a continuous reading, and no sender or recipient is yet named. R703 (catalogue 6	in archive	the contemporary English codebreaker's own partial solutions, written interlinearly on the intercepts themselves and summarised as a key on DECODE R725; no modern edition (the published SP 106 transcr	True	Three ciphers in one codebreaker's file: (A) a two-figure Italian nomenclator whose groups are read as letter, word-list 1 or word-list 2 according to whether they carry no mark, a bar or a dot; (B) a	contemporary decipherment;key confirms;historical consistency
sp53	Mary Queen of Scots papers residue: TNA SP 53/16 nos. 78 and 79 and SP 53/22 f. 52	unknown	unknown	TNA SP 53/16 no. 78;TNA SP 53/16 no. 79;TNA SP 53/22 f. 52	not read	0	1235	symbols	sp53/SP53_16_78.txt(21);sp53/SP53_16_79.txt(28);sp53/SP53_22_52.txt(8)	28		Not homophonic letter ciphers with a modest nomenclator in five languages; heavy nomenclator or nulls remain open. f. 52 below unicity. Needs images and SP 53/22 keys.	no	Tomokiyo lists them as undeciphered; web search found nothing	False	Probably symbol ciphers of the Mary-Castelnau class transcribed as glyph labels; design not established.	matched control
spaen1808	G. C. van Spaen (Düsseldorf) to M. van der Goes, 14 and 15 Jan 1808 (NA 2.01.08 inv. 281; DECODE R1941)	1808	unknown	Nationaal Archief 2.01.08 BuZa 1796-1810, inv. nr. 281; DECODE R1941	not read	0	303	code groups	spaen1808/letter_groups.txt(228);spaen1808/annex_groups.txt(75)	228		Blocked on the key: needs the Kingdom of Holland legation code or the DECODE owner's annex reading.	unknown	DECODE note says the 15 Jan annex was solved; no reading is published on the record	False	A plain numerical code of at least 1,339 groups, unmarked, with clear Dutch openings and closings; not a Croiset book.	
stepney	George Stepney to the Earl of Manchester, Vienna, 23 March 1702 (Yale OSB MSS fc37; DECODE R2864)	1702	English	Yale Beinecke OSB MSS fc37, Box 8 folder 40 (DECODE R2864)	offline only	0	24	code groups	stepney/ciphertext.txt(437)	437		Key or plaintext likely in TNA SP 105/106 or BL Add MSS 7058-7078, not online.	no	Not in HMC 8th Report or Court and Society; DECODE Non-decrypted	False	Numeric nomenclator of 2-3 digit groups (30-847) apparently in letter, syllable and word tiers, not the THE=454 key.	none
superscript	1520s superscript-digit ciphers (Worcester 1526/1529, Gilino 1527, Garbino 1528)	unknown	Latin	BL Cotton MS Vespasian C III f. 304 (DECODE R8476)	offline only	0	None	symbols		0		Blocked on image access; no ciphertext in hand.	partial	R8590 is deciphered; cryptiana has a partial syllable table	False	Letters with superscript digits, per cryptiana's partial syllable table; not examined here.	none
thurloe	Four undeciphered intercepts in the Thurloe State Papers, 1653-56 (Birch 1742; cryptiana unsolved item #9)	1653;1656	English;unknown	Bodleian Rawlinson A (Thurloe papers) vol. v p. 240; printed TSP i.435;Bodleian Rawlinson A vol. xli p. 642; printed TSP v.337;Bodleian Rawlinson A vol. xli p. 78; printed TSP v.267;Bodleian Rawlinson A vol. xxxviii p. 769; printed TSP v.78-79	not read	0	229	symbols;mixed;code groups	thurloe/a_beverning_1653.txt(674);thurloe/b_dugard_1656.txt(229);thurloe/c_brussels_12aug1656.txt(236);thurloe/d_waddall_1656.txt(355)	674	(a) Beverning 1653, 136 groups: no-key-material (Matched control shows the length suffices for the solver, which still fails: system not the one mode) | (b) du Gard 1656, 27 tokens: too-short (Cover address, no key online.) | (c) Brussels 1656, 16 digits: too-short (A 12-sign name and a 4-sign word.) | (d) Waddall 1656, 50 groups: too-short (29 distinct homophonic symbols in 50 groups; key in the Clarendon MSS, not online.)	Verdict STUCK: too short for cryptanalysis, no key online. Originals in Bodleian Rawlinson A, not digitised; sibling decipherments would be in the Nationaal Archief (a) and the Clarendon MSS (b-d), not online. Matched control run 2026-09-22 (control.	no	Listed as undeciphered by Tomokiyo (cryptiana item #9); Birch's transcriptions are the only online witness and carry no decipherment.	False	Four unrelated short ciphers: (a) figure substitution with a small code, (b) figures mixed with letters, (c) a ten-digit cipher, (d) homophonic figures with two codes.	none
toulon1803	Lodewijk van Toulon to Dirk van Hogendorp, 30 July 1803 (NA 1.02.13 inv. 208; DECODE R2034)	1803	Dutch	Nationaal Archief 1.02.13 Legatie Rusland, inv. nr. 208; DECODE R2034	offline only	0.045	110	code groups	toulon1803/ciphertext.txt(229)	229	64 of the 67 text groups: no-key-material (key survives only as NA 2.21.045/34313, not digitised; the solved same-key letters R1944-R1946 do no) | the reading of the letter: needs-physical-access (Croiset Correspondentiecijffer, Museum voor Communicatie B1 392 (photocopy NA 2.21.045/34313))	Attempted, open. The key survives only as a physical booklet (NA 2.21.045/34313; dup. 2.21.227/335; Museum B1 392). Full transcriptions of same-key R1944 and R1946 (1801) fix 3 of 67 words (222- niet, 394 handen, 58 brengen); the nine values claimed 	no	DECODE marks R2034 non-decrypted; no printed solution found	False	A six-series bilingual Dutch/French numerical dictionary code, with the series selected by a superscript wave, caret, double stroke, overbar, plus, or no mark.	contemporary decipherment
vanreede1787	Dispatches of A. W. C. van Reede from Berlin, 1787–1793	1787;1788;1793	Dutch;French	Nationaal Archief 1.01.02, Staten-Generaal, inv. 6695;Nationaal Archief 3.01.26, L. P. van de Spiegel, inv. 190	read in part	0.383	1167	code groups	vanreede1787/ciphertext_R1026.txt(319);vanreede1787/ciphertext_R1027.txt(152);vanreede1787/ciphertext_R1893.txt(696)	696	R1893 (24 Mar 1793, 696 tokens): no-key-material (different three-digit overmarked code, 513 distinct forms; keys R2846, R2848, R2850, R2851, R2243 tr) | R1026/R1027 groups 2637, 2800, 3660, 1250, 331, 3160, 3153, 2751, 50 and damaged groups: open-codes (not in the 1782 R1024 key; 2637/2800/3660 recur, probably names) | R1026/R1027 garbled passages from DECODE digit misreads: not-attempted (NOTES say a fresh transcription from the images would clear them; not done)	R1026 and R1027 read (452 of 472 groups given a value; some passages still garbled by transcription misreads); R1893 not read.	partial	DECODE holds the key (R1024) and plaintext controls R1028/R1029 of the same code; no reading of R1026, R1027 or R1893 was found.	True	R1026/R1027 use the 1782 one-part French Grand Chiffre of William V (DECODE key R1024, 1-5000); R1893 uses a distinct three-digit marked-number code.	matched control;historical consistency
vieuville1587	Nevers to La Vieuville, St-Aignan, 30 Sept 1587 (BnF fr. 3975 fol. 101, DECODE R4289)	1587	French	BnF Français 3975 item 34, ff. 101r-102v; Gallica btv1b90605473 canvases 185-188; DECODE R4289	not read	0.0	0	mixed		0	letter text ff. 101r-102v (~110 lines of clear French): illegible () | runs A, B, C (33 signs): illegible () | code numbers without a visible bar (28, 29, 33-35, 36, 80): illegible ()	Code numbers identified against key no. 16 only; the letter text and the three letter runs are unread. fraction_read counts the run signs and the letter text, neither of which reads.	no	none found (Tomokiyo, Gomberville 1665, BnF notices, DECODE)	False	Clear letter with inserted runs in Tomokiyo's Nevers cipher no. 16 (1587): letter+figure homophones, code numbers 10-100 and overbarred 1-81.	none
voynich	Voynich manuscript (Beinecke MS 408): hoax, cipher or language	1420	unknown	Beinecke MS 408	not read	0	34116	mixed	voynich/data/ZL3b-n.words.tsv(83271)	83271		An adjudication, not a decipherment: verbose encoding vs structured meaningless text judged about 45:50.	no	Published decipherments (Bax 2014 to 2025-26 LLM readings) have no reproducible key	False	Undetermined: plain or simply enciphered European language excluded on transliteration-robust entropy; a verbose encoding and structured meaningless text remain roughly even.	matched control
walsingham1572	Walsingham to Burghley, Paris, 20 January 1572/3, letter-book copy, BL Harley MS 260 ff. 398-399 (DECODE R8363, catalogue item 123)	1573	English	BL Harley MS 260 ff. 398-399 (DECODE R8363)	not read	None	12	symbols	walsingham1572/cipher.txt(12)	12	f. 398r group '2 1 ⌘ ε 9 4': too-short () | f. 398r '[9]' placeholder: no-key-material ()	Closed unread: 12 cipher signs in two letters, no key extant; Dieppe fits the context best but only as a guess (I).	no	Digges, The Compleat Ambassador (1655) p. 313 prints the letter with the cipher left in cipher type; CSP Foreign x no. 725 summarises a same-day letter without the passage.	False	Place name written in digits and signs (2 1 ⌘ ε 9 4) inside a clear letter; a bracketed mark [9] stands where the copyist omitted another cipher name.	
walsingham1572nov	Walsingham to Burghley, Paris, 12 November 1572, letter-book copy, BL Harley MS 260 ff. 364-365 (DECODE R8359-R8360, catalogue item 126)	1572	English	BL Harley MS 260 ff. 364-365 (DECODE R8359, R8360)	not read	None	0	symbols		0	six placeholders and one blank, ff. 364r-365r: no-key-material ()	Closed: no ciphertext survives in this copy.	no	Digges, The Compleat Ambassador (1655) prints the letter with the placeholders; no decipherment.	False	No cipher copied: the letter-book clerk replaced each cipher name with a boxed number ([9], [3]).	
walsingham1585	Walsingham to Edward Wotton, ambassador in Scotland, 28 Jul - 10 Sep 1585, BL Add MS 32657 (DECODE R4838, R4839, R4840, R4844)	1585	English	BL Add MS 32657 ff. 125-127, 140-141 (DECODE R4838, R4839);BL Add MS 32657 ff. 163-164 (DECODE R4840);BL Add MS 32657 ff. 194-195 (DECODE R4844)	read in part	0.49	None	mixed;code groups	walsingham1585/reading_R4840.txt(431);walsingham1585/reading_R4844.txt(382)	431	R4844 sign words (~14 words, ~120 signs): too-short (homophonic sign alphabet, no crib, no key, interlinear decipherment blotted out) | name codes 13, 14, 23, 30, 32, 37: open-codes (not glossed in CSP or Wotton drafts; context too thin) | clear-text gaps [..] in reading_R4840/R4844: not-attempted (working transcriptions left gaps; no second pass recorded)	All four letters readable; two already in print as calendar abstracts. Name code mostly identified; the ~14 sign words of 10 Sep 1585 unread. fraction_read is a rough estimate from NOTES, not a count: name numbers mostly identified (6 of 16 open), th	partial	CSP Scotland viii (1914) nos. 40, 65 calendar two of the four letters from Walsingham's drafts; the calendar glosses 19, 24, 39, 40 and names 20 as Morton	True	Plain-English letters with a two-digit name code for persons and countries, plus, in one letter, a few words in a sign alphabet with apparent homophones and dot/dash nulls.	historical consistency
wod1568	Catalogue 97: unidentified ciphers on BL Add MS 4136 ff. 32-33 (DECODE R2988 margin, R2989 John Wood to Cecil 1568)	1559;1568	unknown	BL Add MS 4136 f. 32 (DECODE R2988);BL Add MS 4136 f. 33 (DECODE R2989)	read in part	0.3	39	symbols	wod1568/wood_line.txt(40)	40	10 July letter: twelve code signs: open-codes () | 10 July letter: ~80 of 550 signs in lines 5-14: illegible () | 10 July letter: starred marginal note: no-key-material () | f. 32 margin, 222 groups: no-key-material (word-sign code; needs key or SP 70/5)	Of the ciphertext on the two leaves, Throckmorton's 10 July 1559 letter (f.32) is read ~85-90% (lines 1-4 secure). The f.32 margin (word-sign code, 222 groups) and Wood's 1568 line (39 signs, non-unique) are unread; fraction is over all three texts.	no	Tomokiyo, cryptiana unsolved.htm, lists both as unidentified	False	R2989: same symbol families as the Moray-Wood 1568 cipher (x and z variants, g, o, e, f); R2988 margin: a shorthand-like sign system, undetermined.	key confirms;historical consistency
zeschau1841	Zeschau (Dresden) to Seebach (St Petersburg), ciphered despatches 1841-1843 (HStAD 10731 Nr. 12)	1841;1842	French;French and German	HStAD 10731 Nr. 12; DECODE R5006, R5007, R5008;HStAD 10731 Sächsische Gesandtschaft in Russland, Nr. 12; DECODE R5005	not read	0	1896	code groups	zeschau1841/ct_R5005.digits.txt(70)	70		System identified and seven values recovered; needs the key, imaging of the erased pencil, or the sibling letters transcribed.	partial	Contemporary interlinear pencil decipherment, now rubbed out and mostly illegible	True	Unseparated two-digit groups for letters and syllables (11=la, 70=pre, 82=m, 34=i, 29=er, 40=e, 46=que from the erased glosses).	matched control
zhongshan	Telegrams from the sunken gunboat Zhongshan (c.1938)	1938	Chinese	unknown (Zhongshan Warship Museum holdings; fragment via Tomokiyo)	not read	0	7	code groups		0		Blocked at the source: a bespoke codebook needs the unpublished 891 telegrams.	partial	Tomokiyo read the preamble and date; the museum read 352 of 891 telegrams, unpublished	False	He Mi, a separately compiled Nationalist codebook, named in a preamble written in the standard Chinese telegraph code.	none
