group	letters	years	shelfmarks_arks	estimated_signs	known_key	copy_free_share	read_by	source_files
portuguese royal to england france	1	1661-1661	bl-portugal-bombay-1661	unknown	none found	0/1	Aymeloglu, Bourdeau, us	ciphers/bl-portugal-bombay-1661/NOTES.md
giulio sacchetti to spain secret	1	1623-1623	bl-sacchetti-nunzio-1623	unknown	key, not this shelfmark)	0/1	Aymeloglu, Bourdeau, us	ciphers/bl-sacchetti-nunzio-1623/NOTES.md
wallis letterbook	1	unknown	bl-wallis-letterbook	unknown	key-lead resource, not a fresh cipher target)	0/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/bl-wallis-letterbook/NOTES.md
borssele der to anthonie heinsius	1	1714-1714	borssele-heinsius-1714	unknown	none found	1/1	us	ciphers/borssele-heinsius-1714/NOTES.md
magistrate breda to states	1	1624-1624	breda-statengeneraal-1624-25	unknown	key, no printed decipherment located (with the Van der Kemp IV caveat above),	1/1	us	ciphers/breda-statengeneraal-1624-25/NOTES.md
burgess mysteries	1	1912-1912	burgess-mysteries-1912	unknown	key set here)	0/1	Aymeloglu, Bourdeau, us	ciphers/burgess-mysteries-1912/NOTES.md
catokwacopa 1875	1	1875-1875	catokwacopa-1875	unknown	none found	0/1	Aymeloglu, Bourdeau, us	ciphers/catokwacopa-1875/NOTES.md
charles oxford to rupert	1	1645-1898	charles-rupert-1645	unknown	key set here; per CLAUDE	0/1	Aymeloglu, Bourdeau, Lasry, Tomokiyo, us	ciphers/charles-rupert-1645/NOTES.md
clair1108 duvergier	1	1696-2026	clair1108-duvergier	unknown	"key found in six sources for ""Du Vergier""/Clairambault 1108"	1/1	Aymeloglu, Bourdeau, Lasry, Tomokiyo, us	ciphers/clair1108-duvergier/NOTES.md
clair1161 avis	1	1688-1688	clair1161-avis-flandre-1688	unknown	key off the Lauer catalogue's	1/1	Tomokiyo, us	ciphers/clair1161-avis-flandre-1688/NOTES.md
clair349 este	1	1556-1556	clair349-este-guise-1556	unknown	key	0/1	Aymeloglu, Bourdeau, Lasry, Tomokiyo, us	ciphers/clair349-este-guise-1556/NOTES.md
Letter to plenipotentiary peace	1	1645-1645	clair571-estrades-1645	unknown	key or decipherment named	1/1	Lasry, Tomokiyo, us	ciphers/clair571-estrades-1645/NOTES.md
clairambault1225 paget	1	1714-1714	clairambault1225-paget-1714	unknown	keyed at SP53/22	1/1	Aymeloglu, Bourdeau, us	ciphers/clairambault1225-paget-1714/NOTES.md
clairambault296 paget	1	1713-1713	clairambault296-paget-1713	unknown	key stated in	1/1	Aymeloglu, us	ciphers/clairambault296-paget-1713/NOTES.md
clairambault351 paliano	1	2026-2026	clairambault351-paliano	unknown	key, not a ciphertext	1/1	Aymeloglu, Bourdeau, us	ciphers/clairambault351-paliano/NOTES.md
clairambault361 marini	1	1610-1610	clairambault361-marini-1610	unknown	key-only	1/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/clairambault361-marini-1610/NOTES.md
clairambault528 bouillon	1	1713-1713	clairambault528-bouillon-1713	unknown	none found	0/1	Aymeloglu, us	ciphers/clairambault528-bouillon-1713/NOTES.md
clerville francia	1	1648-1648	clerville-francia-1648	unknown	"key-with-letter are both stated directly by the finding aid (""con il foglio del cifrario impiegata"	0/1	Aymeloglu, Bourdeau, us	ciphers/clerville-francia-1648/NOTES.md
register instructions to andre hurault	1	1739-2026	colbert369-maisse	unknown	"keys headed ""Chiffre du Roy, escript au Sr de Maisse"", ""Chiffre envoye a Mons"	1/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/colbert369-maisse/NOTES.md
cotton tudor	1	1509-1603	cotton-tudor-cluster	unknown	key (margin table, f	0/1	Tomokiyo, us	ciphers/cotton-tudor-cluster/NOTES.md
courten diary	1	1698-2026	courten-diary	unknown	key by Sir Frederic Madden — BL Add MS 4956	0/1	Aymeloglu, Bourdeau, us	ciphers/courten-diary/NOTES.md
avaux to antonio barberini	1	1633-1633	davaux-1633	unknown	keyed by Tomokiyo and already marked Decrypted on DECODE	1/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/davaux-1633/NOTES.md
decode 1162	1	1492-1492	decode-1162-modena-ambung-1492	unknown	key or decipherment document	0/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/decode-1162-modena-ambung-1492/NOTES.md
beltrame costabili to eleonora aragona	1	1492-1492	decode-1168-modena-costabili-1492	unknown	key, a partial reading,	0/1	Aymeloglu, Bourdeau, us	ciphers/decode-1168-modena-costabili-1492/NOTES.md
decode 1411	1	1411-1600	decode-1411-hhsta-vienna-1600	unknown	key record or a ciphertext record	0/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/decode-1411-hhsta-vienna-1600/NOTES.md
abbé gravel to jean baptiste	1	1665-1665	decode-2678-bnf-colbert127-gravel-1665	unknown	key or	1/1	Aymeloglu, Bourdeau, us	ciphers/decode-2678-bnf-colbert127-gravel-1665/NOTES.md
melchior sabran	1	1636-1636	decode-2754-bnf-baluze156-1636	unknown	key lead in the LESSONS	1/1	Aymeloglu, Bourdeau, Lasry, Tomokiyo, us	ciphers/decode-2754-bnf-baluze156-1636/NOTES.md
decode 2787	1	1577-1577	decode-2787-villeroi-henryiii-1577	unknown	"key]`, titled ""Preliminary"	0/1	Lasry, Tomokiyo, us	ciphers/decode-2787-villeroi-henryiii-1577/NOTES.md
catherine aragon to ferdinand	1	1509-1509	decode-361-simancas-catherine-aragon-1509	unknown	key table (Thomas Bosbach's, ~17 syllable/word codes), and the codebreaking method (a tilde	0/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/decode-361-simancas-catherine-aragon-1509/NOTES.md
decode 4450	1	1525-1525	decode-4450-bnf-fr20506-1525	unknown	"key"""	1/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/decode-4450-bnf-fr20506-1525/NOTES.md
mazarin to antoine bordeaux	1	1654-1654	decode-9482-bnf-colbert11-mazarin-bordeaux-1654	unknown	key image reachable in this pass (Gallica/DECODE not fetched), but the	0/1	Aymeloglu, Bourdeau, Lasry, Tomokiyo, us	ciphers/decode-9482-bnf-colbert11-mazarin-bordeaux-1654/NOTES.md
decode 9970	1	1527-1527	decode-9970-simancas-1527	unknown	none found	0/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/decode-9970-simancas-1527/NOTES.md
della torre	1	1690-1690	della-torre-olanda-1690	unknown	keybook and the envoy's own decade of letters (CLAUDE	0/1	Aymeloglu, Bourdeau, us	ciphers/della-torre-olanda-1690/NOTES.md
paolo sarpi to castrino bnf	1	1608-2026	dupuy111-sarpi	unknown	"key, not a letter: canvas index 102 (image corner ""100"") carries only a"	1/1	Aymeloglu, Bourdeau, us	ciphers/dupuy111-sarpi/NOTES.md
Cipher letter to ferdinand	1	1597-1597	dupuy155-1597	unknown	keys for the Tuscan side of the correspondence, a different holding	1/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/dupuy155-1597/NOTES.md
antoine seguier to henri	1	1601-1601	dupuy63-139	unknown	keyed by a named solver	1/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/dupuy63-139/NOTES.md
george erving to james madison	1	1807-1807	erving-1807	unknown	keyword=Erving`, curl with a	0/1	Bourdeau, us	ciphers/erving-1807/NOTES.md
espagnol142 mercy	1	1648-1648	espagnol142-mercy-1648	unknown	key stated	0/1	Aymeloglu, us	ciphers/espagnol142-mercy-1648/NOTES.md
florence dieci	1	1863-2026	florence-dieci-responsive	unknown	key volume (Yale Dataverse, Ilardi reel 58, CC0) alongside	1/1	Bourdeau, Tomokiyo, us	ciphers/florence-dieci-responsive/NOTES.md
anonymous to duc mercœur	1	1556-1586	fr15564-mercoeur-1586	unknown	keys)	1/1	Aymeloglu, Bourdeau, Lasry, Tomokiyo, us	ciphers/fr15564-mercoeur-1586/NOTES.md
fr16092 maisse	1	1582-1609	fr16092-maisse-1582	unknown	key from the image but states plainly he has not confirmed it against an actual ciphertext	1/1	Bourdeau, Tomokiyo, us	ciphers/fr16092-maisse-1582/NOTES.md
sieur diou to duc mayenne	1	1549-2026	fr2751-dediou-mayenne	unknown	keyed from fr	1/1	Tomokiyo, us	ciphers/fr2751-dediou-mayenne/NOTES.md
danzay to henri iii	1	1578-1578	fr2812-danzay-1578	unknown	none found	0/1	Tomokiyo, us	ciphers/fr2812-danzay-1578/NOTES.md
fr2933 salviati	1	1525-1525	fr2933-salviati-1525	unknown	"key is on the record"")"	1/1	Aymeloglu, Bourdeau, Lasry, Tomokiyo, us	ciphers/fr2933-salviati-1525/NOTES.md
chancelier duprat to françois ier	1	2026-2026	fr2967-duprat	unknown	none found	1/1	us	ciphers/fr2967-duprat/NOTES.md
fr2988 ranzo	1	1520-1520	fr2988-ranzo-1520s	unknown	key/corpus as	1/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/fr2988-ranzo-1520s/NOTES.md
bnf français	1	1546-2026	fr2996-morvillier	unknown	key is	1/1	Lasry, Tomokiyo, us	ciphers/fr2996-morvillier/NOTES.md
unsigned to seigneur garbino	1	1528-1528	fr3022-garbino-1528	unknown	key or real cribs	1/1	Bourdeau, Lasry, Tomokiyo, us	ciphers/fr3022-garbino-1528/NOTES.md
chevalier seure to fresne henri	1	1558-1558	fr3151-seure-1558	unknown	keys and separate items from	1/1	Bourdeau, Lasry, Tomokiyo, us	ciphers/fr3151-seure-1558/NOTES.md
desiderio abbé to nevers	1	1577-1577	fr3198-labbe-1577	unknown	key	1/1	Bourdeau, Tomokiyo, us	ciphers/fr3198-labbe-1577/NOTES.md
dinteville langres to nevers	1	1592-1592	fr3621-dinteville-1592	unknown	key by itself	1/1	Bourdeau, Tomokiyo, us	ciphers/fr3621-dinteville-1592/NOTES.md
laurière to nevers	1	1593-1593	fr3625-lauriere-1593	unknown	key catalogue (nos	1/1	Bourdeau, Tomokiyo, us	ciphers/fr3625-lauriere-1593/NOTES.md
marie médicis to savary brèves	1	1610-1610	fr3789-mariedemedicis-savary-1610	unknown	key is in **BnF fr	1/1	Bourdeau, Lasry, Tomokiyo, us	ciphers/fr3789-mariedemedicis-savary-1610/NOTES.md
fr3984 sega	1	1593-1593	fr3984-sega-1593	unknown	key; not	1/1	Bourdeau, Lasry, Tomokiyo, us	ciphers/fr3984-sega-1593/NOTES.md
nevers to villeroy	1	1595-1595	fr3993-villeroy-1595	unknown	keys from fr	1/1	Bourdeau, Tomokiyo, us	ciphers/fr3993-villeroy-1595/NOTES.md
fr4102 dufaure	1	1621-1622	fr4102-dufaure-galepin	unknown	none found	1/1	us	ciphers/fr4102-dufaure-galepin/NOTES.md
fr4137 sabran	1	1637-1637	fr4137-sabran	unknown	key present, no ciphertext letter) and M5	1/1	us	ciphers/fr4137-sabran/NOTES.md
bnf 5160 to abel servien	1	1653-1661	fr5160-letellier-1653	unknown	key sibling once fr	1/1	Bourdeau, Lasry, Tomokiyo, us	ciphers/fr5160-letellier-1653/NOTES.md
fr5761 election	1	1519-1519	fr5761-election-1519	unknown	key -- BnF Français 5761, no	0/1	Aymeloglu, Bourdeau, us	ciphers/fr5761-election-1519/NOTES.md
two enciphered to markgraf wilhelm	1	1633-1633	gla-claudiamedici-1633	unknown	key or gloss)	0/1	us	ciphers/gla-claudiamedici-1633/NOTES.md
willem oranje to günther schwarzburg	1	1561-1561	gunther-van-schwarzburg-1561	unknown	key-recovery sibling, not as the basis for this target's own verdict	1/1	us	ciphers/gunther-van-schwarzburg-1561/NOTES.md
harley 287 to walsingham	1	1587-1587	harley-287-1587	unknown	key set here)	0/1	Aymeloglu, Bourdeau, Lasry, us	ciphers/harley-287-1587/NOTES.md
daniel wolf to anthonie heinsius	1	1702-1702	heinsius-dopff-1702	unknown	key to this cipher was never found	1/1	us	ciphers/heinsius-dopff-1702/NOTES.md
rené sauniere to anthonie heinsius	1	1704-1704	heinsius-hermitage-1704	unknown	key in the same archive -- the most important finding of this pass	1/1	us	ciphers/heinsius-hermitage-1704/NOTES.md
johan haersolte to anthonie heinsius	1	1703-1703	heinsius-vanhaersolte-1703	unknown	key to the cipher used is not known	1/1	us	ciphers/heinsius-vanhaersolte-1703/NOTES.md
hstas osiander	1	1627-1630	hstas-osiander-1627	unknown	key survives with the diary	0/1	us	ciphers/hstas-osiander-1627/NOTES.md
huntington blathwayt	1	1725-1729	huntington-blathwayt-madrid-1728	unknown	"key was in the archive beside the letter"" pattern than the scout's row recorded (which knew"	1/1	Aymeloglu, Bourdeau, us	ciphers/huntington-blathwayt-madrid-1728/NOTES.md
luzerne to destouches	1	1781-1781	huntington-luzerne-destouches-1781	unknown	key (LESSONS	1/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/huntington-luzerne-destouches-1781/NOTES.md
lic melchior to graf wolfgang	1	1679-1679	hza-hohenlohe-1679	unknown	key or	0/1	us	ciphers/hza-hohenlohe-1679/NOTES.md
ingham diary	1	1734-1734	ingham-diary	unknown	key to much	0/1	Aymeloglu, Bourdeau, us	ciphers/ingham-diary/NOTES.md
jan nassau	1	1572-1575	jan-van-nassau-1572-75	unknown	key_1572 is the natural first test against it	1/1	Bourdeau, us	ciphers/jan-van-nassau-1572-75/NOTES.md
konstanz talleyrand	1	1798-1798	konstanz-talleyrand-sieyes-1798	unknown	none found	0/1	Aymeloglu, Bourdeau, us	ciphers/konstanz-talleyrand-sieyes-1798/NOTES.md
cypher to anthony bacon	1	1451-2026	lambeth-bacon-649	unknown	key, plaintext or documented attempt on MS 649 ff	0/1	Aymeloglu, Bourdeau, us	ciphers/lambeth-bacon-649/NOTES.md
casenowe dufauk to henri	1	1586-1586	lambeth-casenowe-1586	unknown	key, not established this pass	0/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/lambeth-casenowe-1586/NOTES.md
lodewijk louis to willem oranje	1	1573-1574	lodewijk-van-nassau-1573-74	unknown	"key beside the letter"" / sibling pattern (LESSONS"	1/1	Bourdeau, us	ciphers/lodewijk-van-nassau-1573-74/NOTES.md
bréval to henri lorraine	1	1597-2026	lorraine377-breval	unknown	key already worked out, once, in the 17th	1/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/lorraine377-breval/NOTES.md
partly relating to gen monck	1	1659-1660	monck-1660	unknown	keyword web search was run, which is weak for	0/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/monck-1660/NOTES.md
mornington wellesley to dundas	1	1798-1800	mornington-1798	unknown	key at **D623/41**	0/1	Aymeloglu, Bourdeau, us	ciphers/mornington-1798/NOTES.md
naf14913 rousseau	1	1491-1743	naf14913-rousseau-venice-1743	unknown	KEY`: 5 distinct	1/1	Tomokiyo, us	ciphers/naf14913-rousseau-venice-1743/NOTES.md
andrew stone to tna 118	1	1728-1728	newcastle-stone-1728	unknown	none found	0/1	Aymeloglu, Bourdeau, Lasry, us	ciphers/newcastle-stone-1728/NOTES.md
nla heinrich	1	1519-1519	nla-heinrich-braunschweig-1519	unknown	Keyser- und Königlichen Maiesteten	0/1	us	ciphers/nla-heinrich-braunschweig-1519/NOTES.md
nls 20769	1	2024-2026	nls-20769	unknown	KEY` appended as CLAUDE	1/1	Bourdeau, Tomokiyo, us	ciphers/nls-20769/NOTES.md
giovanni battista to emperor ferdinand	1	1628-1628	pallotto-1628	unknown	"keys were recovered""; the paper's own source"	0/1	Aymeloglu, Bourdeau, Lasry, us	ciphers/pallotto-1628/NOTES.md
carta que to alphonse bnf	1	1667-1667	portugais33-saovicente-1667	unknown	key-recovery campaign to work on; steps 2 and 3 of the brief	1/1	Aymeloglu, Bourdeau, us	ciphers/portugais33-saovicente-1667/NOTES.md
shaftesbury drafts to percivall	1	1682-1682	pro30-shaftesbury-1682	unknown	key catalogued in the same piece	0/1	us	ciphers/pro30-shaftesbury-1682/NOTES.md
two to mrs horesse	1	1717-1717	pro3053-horesse-1717	unknown	"key` (searched for ""cypher""/""decipher""/""key"" as catalogue-description terms) returned no"	0/1	us	ciphers/pro3053-horesse-1717/NOTES.md
pro3055 clinton	1	1779-1779	pro3055-clinton-1779	unknown	key)	0/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/pro3055-clinton-1779/NOTES.md
celsing dohsson	1	1779-1782	ra-celsing-dohsson-1779	unknown	key, 1779-1782	1/1	Aymeloglu, Bourdeau, us	ciphers/ra-celsing-dohsson-1779/NOTES.md
gustaf celsing to sillén with	1	1755-1764	ra-celsing-sillen-1755	unknown	key, 1755-1764	1/1	Aymeloglu, Bourdeau, us	ciphers/ra-celsing-sillen-1755/NOTES.md
crusenstolpe 1809	1	1809-1809	ra-crusenstolpe-1809	unknown	key, plaintext, transcription or documented attempt specific to this	0/1	Aymeloglu, Bourdeau, us	ciphers/ra-crusenstolpe-1809/NOTES.md
karlxi fullmakt	1	1677-1677	ra-karlxi-fullmakt-1677	unknown	key, decipherment or documented cryptanalytic attempt on this specific document	0/1	Aymeloglu, Bourdeau, us	ciphers/ra-karlxi-fullmakt-1677/NOTES.md
morner welin	1	2029-2029	ra-morner-welin	unknown	key mentioned)	0/1	Aymeloglu, Bourdeau, us	ciphers/ra-morner-welin/NOTES.md
chiffer handlingar	1	1786-1786	ra-ud-chiffer-handlingar	unknown	keys usable for other rows in this batch	0/1	Aymeloglu, Bourdeau, us	ciphers/ra-ud-chiffer-handlingar/NOTES.md
vellingk 1713	1	1713-1714	ra-vellingk-1713	unknown	key is catalogued alongside either holding)	1/1	Aymeloglu, Bourdeau, us	ciphers/ra-vellingk-1713/NOTES.md
rah canada	1	1869-1869	rah-canada-1869	unknown	key lead found in the QUEUE scoring pass, and not checked against that cluster's	1/1	Aymeloglu, Bourdeau, us	ciphers/rah-canada-1869/NOTES.md
rah morillo	1	1817-1820	rah-morillo-1817	unknown	key proposal) — letter text printed, key table not found in print	1/1	Aymeloglu, Bourdeau, us	ciphers/rah-morillo-1817/NOTES.md
rah xiquena	1	1868-1868	rah-xiquena-1868	unknown	key lead shared between them	1/1	Aymeloglu, Bourdeau, us	ciphers/rah-xiquena-1868/NOTES.md
rumpf bie to anthonie heinsius	1	1716-1719	rumpf-vandebie-heinsius-1716-19	unknown	key* record, a different archive series (Fagel, not 3	1/1	us	ciphers/rumpf-vandebie-heinsius-1716-19/NOTES.md
krauske 1893 to flemming shsta	1	1712-1893	sachsstaatsarchiv-manteuffel-1712	unknown	key —	0/1	us	ciphers/sachsstaatsarchiv-manteuffel-1712/NOTES.md
salvago caraffa	1	1691-1691	salvago-caraffa-1691	unknown	key, versus	0/1	Aymeloglu, Bourdeau, us	ciphers/salvago-caraffa-1691/NOTES.md
mniszech to jakub dunin	1	1714-1714	sanguszkow-mniszech-dunin-1714	unknown	keywords` via `--type` and letting it submit works	0/1	Bourdeau, us	ciphers/sanguszkow-mniszech-dunin-1714/NOTES.md
paget to ottoman porte	1	1693-1693	sp105-paget-1693	unknown	"key and records it as **not found there** (""Key untraced in SP"	0/1	Tomokiyo, us	ciphers/sp105-paget-1693/NOTES.md
sp35 intercepts	1	1722-1722	sp35-intercepts-1722	unknown	key, enclosed in a cover to Mrs Burton at Mrs	0/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/sp35-intercepts-1722/NOTES.md
anonymous to townshend enclosing	1	1719-1725	sp35-townshend-key-1719	unknown	key, and 12 further SP 35 singles — Atterbury-Plot series (1719-1725)	0/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/sp35-townshend-key-1719/NOTES.md
ball to unknown recipient	1	1745-1745	sp36-ball-1745	unknown	key or decipher elsewhere in the piece	0/1	Bourdeau, us	ciphers/sp36-ball-1745/NOTES.md
quentin to pretender tna	1	1743-1743	sp36-stquentin-pretender-1743	unknown	"key`, id C7768193): ""Folio 53"	0/1	us	ciphers/sp36-stquentin-pretender-1743/NOTES.md
sp54 maclean	1	1745-1745	sp54-maclean-1745	unknown	key-1719/NOTES	0/1	Aymeloglu, Bourdeau, us	ciphers/sp54-maclean-1745/NOTES.md
state nicholas to san sebastián	1	1659-1659	sp77-nicholas-1659	unknown	key Nicholas	0/1	Bourdeau, us	ciphers/sp77-nicholas-1659/NOTES.md
louis xiii to cesy	1	1628-1628	sp78-cesy-1628	unknown	key+country=US,	0/1	Tomokiyo, us	ciphers/sp78-cesy-1628/NOTES.md
doncaster viscount to calvert	1	1621-1621	sp78-doncaster-1621	unknown	key sibling	0/1	us	ciphers/sp78-doncaster-1621/NOTES.md
sp78 france	1	1583-1583	sp78-france-1583	unknown	none found	0/1	Aymeloglu, Bourdeau, Lasry, Tomokiyo, us	ciphers/sp78-france-1583/NOTES.md
waldegrave to delafaye tna	1	1734-1734	sp78-waldegrave-delafaye-1734	unknown	"key`, id C7336977): ""Folio 146: Waldegrave to Delafaye"	0/1	us	ciphers/sp78-waldegrave-delafaye-1734/NOTES.md
yorke to bedford albemarle	1	1749-1749	sp78-yorke-1749	unknown	keyword search	0/1	us	ciphers/sp78-yorke-1749/NOTES.md
major ehrenstein to bernsdorff guldenstolp	1	1689-1689	sp8-ehrenstein-1689	unknown	key, decipher, or duplicate found in	0/1	us	ciphers/sp8-ehrenstein-1689/NOTES.md
horatio palavicino to burghley	1	1590-1590	sp81-palavicino-1590	unknown	key — TNA SP 81/6/125 (1590)	1/1	Aymeloglu, Bourdeau, us	ciphers/sp81-palavicino-1590/NOTES.md
thomas roe to state	1	1638-1638	sp81-roe-1638	unknown	key/decipher lead	0/1	Bourdeau, us	ciphers/sp81-roe-1638/NOTES.md
sp81 stanning	1	1631-1631	sp81-stanning-1631	unknown	key/decipher lead	0/1	us	ciphers/sp81-stanning-1631/NOTES.md
john wroth to cecil	1	1596-1596	sp81-wroth-1596	unknown	key — TNA SP 81/7/239 (1596)	1/1	Aymeloglu, Bourdeau, us	ciphers/sp81-wroth-1596/NOTES.md
chauran to williamson	1	1662-1662	sp84-chauran-1662	unknown	"key item that might be the material Chauran is ""transmitting"" — none found;"	0/1	Aymeloglu, Bourdeau, us	ciphers/sp84-chauran-1662/NOTES.md
sp87 brunswick	1	1759-1759	sp87-brunswick-1759	unknown	key, or attempt found in web search, print (partial), community lists, DECODE, Bourdeau or	0/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/sp87-brunswick-1759/NOTES.md
sp87 chesterfield	1	1747-1747	sp87-chesterfield-1747	unknown	none found	0/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/sp87-chesterfield-1747/NOTES.md
sp87 further	1	1712-1712	sp87-further-1712	unknown	key+country=US, filter=full):**	0/1	Tomokiyo, us	ciphers/sp87-further-1712/NOTES.md
newcastle to carteret	1	1743-1743	sp87-newcastle-1743	unknown	none found	0/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/sp87-newcastle-1743/NOTES.md
raby to hedges	1	1704-1704	sp90-raby-1704	unknown	"key to"" in their scopeContent (checked"	0/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/sp90-raby-1704/NOTES.md
sp90 raby	1	1705-1716	sp90-raby-whitworth-1705	unknown	"key (a DECODE-catalogued English Deciphering Branch key, R8762) in which ""Raby"" is"	0/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/sp90-raby-whitworth-1705/NOTES.md
sp99 wotton	1	1622-1622	sp99-wotton-1622	unknown	key, or duplicate record for SP 99/24/251 itself	0/1	us	ciphers/sp99-wotton-1622/NOTES.md
john dalrymple to viscount townshend	1	1710-1710	stair-townshend-1710	unknown	key file (windischgraetz1720/key5018	0/1	us	ciphers/stair-townshend-1710/NOTES.md
maria walburga to christoph karl	1	1653-1653	stas-waldburg-1653	unknown	key or	0/1	us	ciphers/stas-waldburg-1653/NOTES.md
taurello roma	1	1527-1527	taurello-roma-1527	unknown	key or sibling decipherment noted in	0/1	Aymeloglu, Bourdeau, us	ciphers/taurello-roma-1527/NOTES.md
thurloe printed	1	1742-1742	thurloe-printed	unknown	keys: `key_montagu_extended	1/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/thurloe-printed/NOTES.md
two erasmus to johann christoph	1	1614-1614	trew-posthius-1614-18	unknown	key hand — see below)	1/1	us	ciphers/trew-posthius-1614-18/NOTES.md
sigismund schellhammer to johann georg	1	1653-1653	trew-schellhammer-1653	unknown	keys for secret writings on the address	1/1	us	ciphers/trew-schellhammer-1653/NOTES.md
ula degeer	1	1644-1646	ula-degeer-1644	unknown	key, 1644-1646	1/1	Aymeloglu, Bourdeau, us	ciphers/ula-degeer-1644/NOTES.md
beuningen circle to johan witt	1	1657-1657	vanbeuningen-dewitt-1657	unknown	key, or later print of that cipher	0/1	us	ciphers/vanbeuningen-dewitt-1657/NOTES.md
vaudemont to willem iii	1	1699-1699	vaudemont-willemiii-1699	unknown	key list -- a different person and a different cipher, noted so a later worker does not	1/1	us	ciphers/vaudemont-willemiii-1699/NOTES.md
viganego torino	1	1717-1717	viganego-torino-1717	unknown	key was	0/1	Aymeloglu, Bourdeau, us	ciphers/viganego-torino-1717/NOTES.md
wallis emus203	1	1933-2026	wallis-emus203-undeciphered	unknown	"Key to the Cipher foregoing"")"	0/1	Aymeloglu, Bourdeau, us	ciphers/wallis-emus203-undeciphered/NOTES.md
charles whitworth to harley boyle	1	1707-1707	whitworth-1707	unknown	keys) ff	0/1	Tomokiyo, us	ciphers/whitworth-1707/NOTES.md
jun 1690 to john williams	1	1690-1690	williams-1690	unknown	keys to the	0/1	Aymeloglu, Bourdeau, us	ciphers/williams-1690/NOTES.md
zbz busbecq	1	1587-1587	zbz-busbecq-1587	unknown	"Key"") — 28 years earlier, a different archive, a different working language"	0/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/zbz-busbecq-1587/NOTES.md
zbz ulrich	1	1531-1531	zbz-ulrich-zwingli-1531	unknown	key table also in print, and this printing itself is stated to reprint an	0/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/zbz-ulrich-zwingli-1531/NOTES.md
reede from	1	1787-1793	vanreede1787	unknown	DECODE R1024 Grand Chiffre (William V's chancery, 1782)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
reede to william	1	1792-1792	vanreede1792	unknown	DECODE R1024 Grand Chiffre (William V's chancery, 1782)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
four to from ferenc	1	1706-1711	rakoczi1704	unknown	DECODE R639 (Bonac et Graffei) (, )	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
philippe groffey to ferenc rákóczi	1	1707-1707	rakoczi1707	unknown	DECODE R639 (Bonac et Graffei) (, )	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
jános pápai to ferenc rákóczi	1	1706-1710	papai1706	unknown	DECODE R580 Pápai key (, )	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
swart to bleiswijk	1	1782-1782	deswart1782	unknown	DECODE R1038 Croiset key (, 1765)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
wolff to wilhelmina orange	1	1801-1801	r2232	unknown	DECODE R2233 (, 1801)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
orangist basle to william	1	1796-1796	r2234	unknown	DECODE R2235 five-alphabet key (, 1796)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
cornelis haga to states	1	1620-1620	haga1620	unknown	DECODE R2118 (, 1620)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
hereditary orange	1	1796-1796	hereditary1796	unknown	DECODE R2237 word list (, 1795)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
