line	position	sign	gloss	confidence	source	why
31	5	16	e	M	G	two-dot mark (read e)
31	6	X	n	H	both	agree
31	7	S37	t	H	both	agree
31	8	26	r	M	recode	z6 pair after S37; 26=E (gloss reads r)
31	9	15	n	H	both	agree
31	10	5	d	H	both	agree
31	11	S34	z	M	G	small z mark above the A
31	12	62		H	both	agree
31	13	|		H	both	agree
31	14	X		M	G	hooked horizontal with long descender; the spiral above is the end of line 30's S63 tail, not a gloss
31	15	102		M	recode	1 0 z group; 102=V
31	16	64		H	both	agree
31	17	|		M	G	thin tall stroke before the minims, lower than them
31	18	S29	m	H	both	agree
31	19	26		M	H	z6 group; the k/h mark above is the tail of line 30's S65
31	20	X	fait	M	G	Z/2 with looped left stroke and crossbar, word 'fait' above
31	21	S31	t	M	recode	ZX-TR349E: circle whose stem runs down past the line crop to a crossbar at its foot (visible in the top of line32_s2) = S31 (P), confused with 9 because the s-crops cut off the stem and cross; gloss p sits over it (the listed "t" is the last letter of the "fait" gloss); "fait penser que"
31	22	16	p	M	recode	1 6 adjacent; 16=E, e gloss over 6 (partner row, not in input list)
31	23	15	n	H	both	agree
31	24	S36	s	M	recode	cross after 15 with s gloss (tall s) above
31	25	26	i	M	recode	z at end of s1 part, 6 at start of s2 part; 26=E (gloss reads i)
31	26	S34	r	M	H	r above Ao
31	27	S32	q	M	new	symmetric Y on long stem (S32 as 26/28); q/9 above
31	28	5	l	M	G	L-like mark above between 5 and 1
31	29	16	e	M	G	two-tick mark (read e)
32	1	S36		M	G	heavy x crossed by a tall rising stroke (same as agreed 32/14)
32	2	9	c	H	both	agree
32	3	17	h	H	both	agree
32	4	44	o	M	recode	4 4 after 17, o gloss over first; 44=O
32	5	S35		M	new	huge wedge long s + small s = S35
32	6	62	e	M	H	6z tight pair, two-tick mark over 6 (read e)
32	7	S36	s	M	recode	long s-stroke from above through a cross, s gloss
32	8	15	n	H	both	agree
32	9	73	y	M	recode	crossed 7 followed by a 3-shape (S64), y gloss over both; 73=Y
32	10	S36		H	both	agree
32	11	82	o	M	recode	8 z, o gloss; 82=O
32	12	X	n	H	both	agree
32	13	S37	t	H	both	agree
32	14	S35		H	both	agree
32	15	73	y	M	recode	crossed 7 + 3-shape, y gloss; 73=Y
32	16	26	c	M	new	z6 group, c mark above
32	17	X		H	both	agree
32	18	9	c	H	both	agree
32	19	17	h	H	both	agree
32	20	12	a	H	both	agree
32	21	102	u	M	recode	1 0 z group; 102=V
32	22	S34		M	G	A joined to o written above the line over the 2 (interlinear, possibly an insertion)
32	23	66		M	recode	6 6 pair after Ao; 66=ff
32	24	18	u	M	G	u with dots over 18
32	25	S36	s	M	recode	cross after 18, s gloss; lone 4 not a code
32	26	|		H	both	agree
32	27	9	c	M	G	bold 9 after the slash, c above
32	28	8	o	M	G	separate bold 8, o above
32	29	76	umm	M	recode	7 6 under one mm gloss; 76=mm (partner row, not in input list)
32	30	16		H	both	agree
33	1	5		H	both	agree
33	2	S63		M	H	9/q-loop on a crossbar with slanting descender = q with crossed descender
33	3	S27	f	M	recode	ZX-TR349E: ff with arched/hooked tops and both stems descending well below the baseline = S27 (L), confused with S17; gloss is a cursive L (les ennemis), not f
33	4	26		M	recode	z6 pair after S17, e gloss over 6; 26=E
33	5	S36		M	recode	ZX-TR349E: long-s stroke from above (hooked top) ending in a cross/x at its foot = S36 (s), confused with S21 (f-like with tail); les
33	6	16	e	M	G	two-tick mark above 16 (read e)
33	7	06	uu	M	G	0 and 6 tight together, gap from the 16; uu above
33	8	62	r	M	new	r-like mark above the 62
33	9	S29		M	G	three minims; the long bar above is an abbreviation-like stroke, not a letter gloss
33	10	60		H	both	agree
33	11	4		M	G	cross with long bar, read as 4
33	12	|		H	both	agree
33	13	102	u	M	recode	1 0 z group, u gloss; 102=V
33	14	44	o	M	recode	4 4, o gloss over first; 44=O
33	15	104	u	M	recode	1 0 4 group, u gloss; 104=V
33	16	5	f	M	G	f directly above the bold 5
33	17	5	d	M	G	d directly above the small 5
33	18	S34	r	H	both	agree
33	19	82	o	M	recode	8 z after Ao, o gloss; 82=O
33	20	64	i	M	H	64 pair, i over 6
33	21	16	e	M	G	two-tick mark (read e)
33	22	15	n	H	both	agree
33	23	S37	t	H	both	agree
33	24	X		M	G	vertical crossed by two long bars (as 26/24), not S23 x-with-tail
33	25	12		H	both	agree
33	26	60		H	both	agree
33	27	S34		H	both	agree
33	28	26		M	recode	z6 at line end; 26=E
