folio	line	position	sign	confidence	value	grade
f30v	L08	20	bb	h	COM	H
f30v	L08	21	Af	m	M	H
f30v	L08	22	lam	h	A	H
f30v	L08	23	n6	m	N	H
f30v	L08	24	fh	h	D	H
f30v	L08	25	9	h	E	H
f30v	L08	26	r3	h	R	H
f30v	L08	27	lam	h	A	H
f30v	L08	28	bb	l	COM	M
f30v	L08	29	9	h	E	H
f30v	L08	30	2	h	S	H
f30v	L08	31	m	h	T	H
f30v	L08	33	lt	h	O	H
f30v	L08	34	h	h	V	H
f30v	L08	35	E	m	B	M
f30v	L08	36	xr	h	I	H
f30v	L09	0	lam	h	A	H
f30v	L09	1	g	h	V	H
f30v	L09	2	Tb	h	O	S
f30v	L09	3	xr	h	I	H
f30v	L09	4	4t	l	ET	M
f30v	L09	5	c	h	L	H
f30v	L09	6	z	h	A	H
f30v	L09	7	h	h	V	H
f30v	L09	8	z3	h	I	H
f30v	L09	9	ll	m	LL	H
f30v	L09	10	9	h	E	H
f30v	L09	11	4t	l	ET	M
f30v	L09	12	4t	m	ET	M
f30v	L09	13	c	h	L	H
f30v	L09	14	lam	h	A	H
f30v	L09	15	ss2	h	NULL	M
f30v	L09	16	zb	m	NULL	M
f30v	L09	17	rho	m	F	H
f30v	L09	18	lt	h	O	H
f30v	L09	19	r3	h	R	H
f30v	L09	20	5	m	C	H
f30v	L09	21	A2	h	E	S
f30v	L09	22	sl	m	E	H
f30v	L09	23	nr	h	N	H
f30v	L09	24	m	h	T	H
f30v	L09	25	r3	h	R	H
f30v	L09	26	sl	m	E	H
f30v	L09	27	h	h	V	H
f30v	L09	28	lt	h	O	H
f30v	L09	29	Zs	l	?	U
f30v	L09	30	Af	m	M	H
f30v	L09	31	lam	h	A	H
f30v	L09	32	z3	h	I	H
f30v	L09	33	n6	m	N	H
f30v	L09	34	2	h	S	H
f30v	L10	0	z	h	A	H
f30v	L10	1	h	h	V	H
f30v	L10	2	9	h	E	H
f30v	L10	3	A2	h	E	S
f30v	L10	4	nq	m	Q	H
f30v	L10	5	h	h	V	H
f30v	L10	6	9	h	E	H
f30v	L10	7	2	h	S	H
f30v	L10	8	fh	h	D	H
f30v	L10	9	sl	m	E	H
f30v	L10	10	5	h	C	H
f30v	L10	11	c	h	L	H
f30v	L10	12	lam	h	A	H
f30v	L10	13	r3	h	R	H
f30v	L10	14	z	h	A	H
f30v	L10	15	m	h	T	H
f30v	L10	16	z3	h	I	H
f30v	L10	18	lt	h	O	H
f30v	L10	19	n6	m	N	H
f30v	L10	20	fh	h	D	H
f30v	L10	21	9	h	E	H
f30v	L10	22	c	h	L	H
f30v	L10	23	lam	h	A	H
f30v	L10	24	ST	h	L	S
f30v	L10	25	xr	h	I	H
f30v	L10	26	E	m	B	M
f30v	L10	27	9	h	E	H
f30v	L10	28	r3	h	R	H
f30v	L10	29	m	h	T	H
f30v	L10	30	sl	m	E	H
f30v	L10	31	lt	h	O	H
f30v	L10	32	h	h	V	H
f30v	L10	33	q	h	B	S
f30v	L10	34	xr	h	I	H
f30v	L10	35	9	m	E	H
f30v	L10	36	n6	m	N	H
f30v	L11	0	zb	m	NULL	M
f30v	L11	1	ss2	h	NULL	M
f30v	L11	2	dl	m	P	H
f30v	L11	3	x	m	A	H
f30v	L11	4	br	h	R	H
f30v	L11	5	2	h	S	H
f30v	L11	6	lt	h	O	H
f30v	L11	7	h	h	V	H
f30v	L11	8	E	m	B	M
f30v	L11	9	H	m	I	H
f30v	L11	10	Af	m	M	H
f30v	L11	11	lam	h	A	H
f30v	L11	12	z3	h	I	H
f30v	L11	13	nr	h	N	H
f30v	L11	14	fh	h	D	H
f30v	L11	15	Tb	h	O	S
f30v	L11	16	Mx	h	L	S
f30v	L11	17	lam	h	A	H
f30v	L11	18	nr	h	N	H
f30v	L11	19	m	h	T	H
f30v	L11	20	E	m	B	M
f30v	L11	21	lt	h	O	H
f30v	L11	22	Mx	h	L	S
f30v	L11	23	9	h	E	H
f30v	L11	24	2	h	S	H
f30v	L11	25	dl	m	P	H
f30v	L11	26	z	h	A	H
f30v	L11	27	r3	h	R	H
f30v	L11	28	lt	h	O	H
f30v	L11	29	ll	m	LL	H
f30v	L11	30	9	h	E	H
f30v	L11	31	o	h	S	H
f30v	L11	32	x	l	A	M
f30v	L12	0	c	h	L	H
f30v	L12	1	z	h	A	H
f30v	L12	2	Af	m	M	H
f30v	L12	3	q	h	B	S
f30v	L12	4	lam	h	A	H
f30v	L12	5	T	h	SS	H
f30v	L12	6	x	m	A	H
f30v	L12	7	fh	h	D	H
f30v	L12	8	9	h	E	H
f30v	L12	9	h	h	V	H
f30v	L12	10	br	h	R	H
f30v	L12	11	QQ	m	D	S
f30v	L12	12	g	h	V	H
f30v	L12	13	bb	l	COM	M
f30v	L12	14	4t	m	ET	M
f30v	L12	15	lam	h	A	H
f30v	L12	16	g	h	V	H
f30v	L12	17	c	h	L	H
f30v	L12	18	yt	m	T	H
f30v	L12	19	r3	h	R	H
f30v	L12	20	9	h	E	H
f30v	L12	21	2	h	S	H
f30v	L12	22	FL	m	S	S
f30v	L12	23	oi	m	E	H
f30v	L12	24	2	h	S	H
f30v	L12	25	v	m	?	U
f30v	L12	26	xr	h	I	H
f30v	L12	27	n6	m	N	H
f30v	L12	28	z3	h	I	H
f30v	L12	29	FL	m	S	S
f30v	L12	30	r3	h	R	H
f30v	L12	31	9	h	E	H
f30v	L12	32	2	h	S	H
f30v	L13	0	Af	m	M	H
f30v	L13	1	lam	h	A	H
f30v	L13	2	xr	h	I	H
f30v	L13	3	n6	m	N	H
f30v	L13	4	m	h	T	H
f30v	L13	5	sl	m	E	H
f30v	L13	6	nr	h	N	H
f30v	L13	7	xr	h	I	H
f30v	L13	8	rs	m	R	H
f30v	L13	9	c	h	L	H
f30v	L13	10	sl	m	E	H
f30v	L13	11	2	h	S	H
f30v	L13	12	Af	m	M	H
f30v	L13	13	xr	h	I	H
f30v	L13	14	m	h	T	H
f30v	L13	15	H	l	I	M
f30v	L13	16	Hb	m	?	U
f30v	L13	17	5	h	C	H
f30v	L13	18	lam	m	A	H
f30v	L13	19	br	h	R	H
f30v	L13	20	2	h	S	H
f30v	L13	21	z3	h	I	H
f30v	L13	22	ss2	h	NULL	M
f30v	L13	23	5	l	C	M
f30v	L13	24	sl	m	E	H
f30v	L13	25	bb	l	COM	M
f30v	L13	26	c	h	L	H
f30v	L13	27	9	h	E	H
f30v	L13	28	FL	m	S	S
f30v	L13	29	lam	h	A	H
f30v	L14	0	B8	l	?	U
f30v	L14	1	dl	m	P	H
f30v	L14	2	lam	h	A	H
f30v	L14	3	br	h	R	H
f30v	L14	4	c	h	L	H
f30v	L14	5	sl	m	E	H
f30v	L14	6	v	h	?	U
f30v	L14	7	lt	h	O	H
f30v	L14	8	zu	m	I	H
f30v	L14	9	9	h	E	H
f30v	L14	10	n6	m	N	H
f30v	L14	11	fh	h	D	H
f30v	L14	12	A2	h	E	S
f30v	L14	13	br	m	R	H
f30v	L14	14	4t	m	ET	M
f30v	L14	15	nq	m	Q	H
f30v	L14	16	h	h	V	H
f30v	L14	17	xr	h	I	H
f30v	L14	18	c	h	L	H
f30v	L14	19	5	h	C	H
f30v	L14	20	lt	h	O	H
f30v	L14	21	g2	m	G	H
f30v	L14	22	n6	m	N	H
f30v	L14	23	Tb	m	O	S
f30v	L14	24	xr	h	I	H
f30v	L14	25	T	h	SS	H
f30v	L14	26	9	h	E	H
f30v	L14	27	nq	m	Q	H
f30v	L14	28	n	h	V	S
f30v	L14	29	9	h	E	H
f30v	L15	0	h	h	V	H
f30v	L15	1	lt	h	O	H
f30v	L15	2	d	h	V	H
f30v	L15	3	2	h	S	H
f30v	L15	4	ST	h	L	S
f30v	L15	5	g	h	V	H
f30v	L15	6	zu	m	I	H
f30v	L15	7	lam	h	A	H
f30v	L15	8	aq	l	Y	M
f30v	L15	9	9	h	E	H
f30v	L15	10	Zs	l	?	U
f30v	L15	11	bb	h	COM	H
f30v	L15	12	m	h	T	H
f30v	L15	13	br	h	R	H
f30v	L15	14	lam	h	A	H
f30v	L15	15	r3	h	R	H
f30v	L15	16	x	m	A	H
f30v	L15	17	9	h	E	H
f30v	L15	18	x	m	A	H
f30v	L15	19	c	h	L	H
f30v	L15	20	9	h	E	H
f30v	L15	21	2	h	S	H
f30v	L15	22	m	h	T	H
f30v	L15	23	lam	h	A	H
f30v	L15	24	5	h	C	H
f30v	L15	25	r3	h	R	H
f30v	L15	26	lam	h	A	H
f30v	L15	27	H	h	I	H
f30v	L15	28	n6	m	N	H
f30v	L15	29	fh	h	D	H
f30v	L15	30	rs	l	R	M
f30v	L15	31	sl	l	E	M
f30v	L16	0	nq	m	Q	H
f30v	L16	1	h	h	V	H
f30v	L16	2	A2	h	E	S
f30v	L16	3	dl	h	P	H
f30v	L16	4	z	m	A	H
f30v	L16	5	br	h	R	H
f30v	L16	6	5	h	C	H
f30v	L16	7	xr	h	I	H
f30v	L16	8	ff	l	?	U
f30v	L16	9	lam	h	A	H
f30v	L16	10	q	m	B	S
f30v	L16	11	r3	h	R	H
f30v	L16	12	9	h	E	H
f30v	L16	13	2	h	S	H
f30v	L16	14	g	h	V	H
f30v	L16	15	lt	h	O	H
f30v	L16	16	n	h	V	S
f30v	L16	17	o	h	S	H
f30v	L16	18	n6	m	N	H
f30v	L16	19	9	m	E	H
f30v	L16	20	c	h	L	H
f30v	L16	21	lam	h	A	H
f30v	L16	22	aq	m	Y	H
f30v	L16	23	sl	m	E	H
f30v	L16	24	4t	m	ET	M
f30v	L16	25	m	h	T	H
f30v	L16	26	z	h	A	H
f30v	L16	27	nr	h	N	H
f30v	L16	28	yt	m	T	H
f30v	L16	29	lam	h	A	H
f30v	L17	0	h	h	V	H
f30v	L17	1	lt	h	O	H
f30v	L17	2	g	h	V	H
f30v	L17	3	2	h	S	H
f30v	L17	4	m	h	T	H
f30v	L17	5	r3	h	R	H
f30v	L17	6	sl	m	E	H
f30v	L17	7	bb	h	COM	H
f30v	L17	8	Af	m	M	H
f30v	L17	9	z	h	A	H
f30v	L17	10	n6	m	N	H
f30v	L17	11	fh	h	D	H
f30v	L17	12	9	h	E	H
f30v	L17	13	v	h	?	U
f30v	L17	14	A2	h	E	S
f30v	L17	15	nr	h	N	H
f30v	L17	16	m	h	T	H
f30v	L17	18	eh	l	D	M
f30v	L17	19	v	h	?	U
f30v	L17	20	9	h	E	H
f30v	L17	21	lam	h	A	H
f30v	L17	22	g	h	V	H
f30v	L17	23	sl	m	E	H
f30v	L17	24	H	m	I	H
f30v	L17	25	9	h	E	H
f30v	L17	26	h	h	V	H
f30v	L17	27	dl	h	P	H
f30v	L17	28	z	h	A	H
f30v	L17	29	r3	l	R	M
f30v	L17	30	c	h	L	H
f30v	L17	31	sl	m	E	H
f30v	L17	32	dl	m	P	H
f30v	L17	33	lam	h	A	H
f30v	L17	34	T	h	SS	H
f30v	L17	35	9	h	E	H
f30v	L18	0	4t	m	ET	M
f30v	L18	1	nq	m	Q	H
f30v	L18	2	h	h	V	H
f30v	L18	3	9	h	E	H
f30v	L18	4	n6	m	N	H
f30v	L18	5	sl	m	E	H
f30v	L18	6	lam	h	A	H
f30v	L18	7	n6	m	N	H
f30v	L18	8	m	h	T	H
f30v	L18	9	Af	m	M	H
f30v	L18	10	lt	l	O	M
f30v	L18	11	xr	h	I	H
f30v	L18	12	nr	h	N	H
f30v	L18	13	2	h	S	H
f30v	L18	14	ss2	h	NULL	M
f30v	L18	15	nq	m	Q	H
f30v	L18	16	n	m	V	S
f30v	L18	17	xr	h	I	H
f30v	L18	18	c	h	L	H
f30v	L18	19	lam	h	A	H
f30v	L18	20	zu	m	I	H
f30v	L18	21	m	h	T	H
f30v	L18	22	v	h	?	U
f30v	L18	23	lam	h	A	H
f30v	L18	24	g	h	V	H
f30v	L18	25	c	h	L	H
f30v	L18	26	h	h	V	H
f30v	L18	27	lam	h	A	H
f30v	L18	28	aq	m	Y	H
f30v	L18	29	2	h	S	H
f30v	L18	30	sl	m	E	H
f30v	L18	31	rho	m	F	H
f30v	L18	32	x	m	A	H
f30v	L18	33	n6	m	N	H
f30v	L19	0	tb	l	?	U
f30v	L19	1	z	h	A	H
f30v	L19	2	o	h	S	H
f30v	L19	3	zu	l	I	M
f30v	L19	4	9	h	E	H
f30v	L19	5	fh	h	D	H
f30v	L19	6	sl	m	E	H
f30v	L19	7	2	h	S	H
f30v	L19	8	zb	m	NULL	M
f30v	L19	9	mx	h	NULL	H
f30v	L19	10	lam	h	A	H
f30v	L19	11	g	h	V	H
f30v	L19	12	B8	l	?	U
f30v	L19	13	c	h	L	H
f30v	L19	14	m	h	T	H
f30v	L19	15	r3	h	R	H
f30v	L19	16	9	h	E	H
f30v	L19	17	2	h	S	H
f30v	L19	18	xr	h	I	H
f30v	L19	19	c	h	L	H
f30v	L19	20	2	h	S	H
f30v	L19	21	sl	m	E	H
f30v	L19	22	ss2	h	NULL	M
f30v	L19	23	Mx	l	L	M
f30v	L19	25	sl	m	E	H
f30v	L19	26	5	h	C	H
f30v	L19	27	m	h	T	H
f30v	L19	28	9	m	E	H
f30v	L19	29	sl	m	E	H
f30v	L19	30	nr	h	N	H
f30v	L19	31	yt	m	T	H
f30v	L19	32	r3	h	R	H
f30v	L20	0	HASH	h	?	U
f30v	L20	1	c	h	L	H
f30v	L20	2	sl	m	E	H
f30v	L20	3	g	h	V	H
f30v	L20	4	br	h	R	H
f30v	L20	5	2	h	S	H
f30v	L20	6	E	m	B	M
f30v	L20	7	br	h	R	H
f30v	L20	8	lam	h	A	H
f30v	L20	9	H	h	I	H
f30v	L20	10	dl	m	P	H
f30v	L20	11	z	h	A	H
f30v	L20	12	br	h	R	H
f30v	L20	13	fh	h	D	H
f30v	L20	14	sl	m	E	H
f30v	L20	15	FL	m	S	S
f30v	L20	16	9	h	E	H
f30v	L20	17	2	h	S	H
f30v	L20	18	dl	m	P	H
f30v	L20	19	Tb	h	O	S
f30v	L20	20	xr	h	I	H
f30v	L20	21	r3	h	R	H
f30v	L20	22	zb	m	NULL	M
f30v	L20	23	n	h	V	S
f30v	L20	24	null_o	m	NULL	H
f30v	L20	25	nq	l	Q	M
f30v	L20	26	HASH	h	?	U
